De ref,school name,address 1,town,postcode,school type,management type,constituency,council,rural     ,total enrolment,male,female,fsme,free school meals,Protestant,% Protestant,Catholic,% Catholic,Other Christian / non-Christian / no religion / unknown,% Other Christian / non-Christian / no religion / unknown
1010282,Carr's Glen Primary School,629-633 OLDPARK ROAD,BELFAST,BT146QX,Primary,Controlled,BELFAST NORTH,BELFAST,Urban,385,206,179,186,48.30%,266,69.1,8,2.1,111,28.8
1010301,Taughmonagh Primary School,FINDON GARDENS,BELFAST,BT96QL,Primary,Controlled,BELFAST SOUTH,BELFAST,Urban,246,115,131,139,56.50%,128,52,18,7.3,100,40.7
1010304,Greenwood Primary School,436-456 UPPER NEWTOWNARDS ROAD,BELFAST,BT43HS,Primary,Controlled,BELFAST EAST,BELFAST,Urban,312,159,153,24,7.70%,142,45.5,21,6.7,149,47.8
1010307,Springhill Primary School,247 BALLYGOMARTIN ROAD,BELFAST,BT133NH,Primary,Controlled,BELFAST WEST,BELFAST,Urban,150,64,86,70,46.70%,111,74,0,0,39,26
1010323,Edenbrooke Primary School,230 TENNENT STREET,BELFAST,BT133GG,Primary,Controlled,BELFAST NORTH,BELFAST,Urban,300,147,153,238,79.30%,244,81.3,*,*,#,#
1010324,Stranmillis Primary School,KNIGHTSBRIDGE PARK,BELFAST,BT95EH,Primary,Controlled,BELFAST SOUTH,BELFAST,Urban,466,240,226,23,4.90%,92,19.7,136,29.2,238,51.1
1010325,Ligoniel Primary School,LIGONIEL ROAD,BELFAST,BT148BW,Primary,Controlled,BELFAST NORTH,BELFAST,Urban,185,91,94,78,42.20%,122,65.9,7,3.8,56,30.3
1010806,Finaghy Primary School,38 FINAGHY ROAD SOUTH,BELFAST,BT100DR,Primary,Controlled,BELFAST SOUTH,BELFAST,Urban,428,218,210,107,25.00%,263,61.4,27,6.3,138,32.2
1010831,Cavehill Primary School,UPPER CASTLE PARK,BELFAST,BT155FG,Primary,Controlled,BELFAST NORTH,BELFAST,Urban,412,221,191,107,26.00%,200,48.5,57,13.8,155,37.6
1013018,Knocknagoney Primary School,KNOCKNAGONEY ROAD,BELFAST,BT42NR,Primary,Controlled,BELFAST EAST,BELFAST,Urban,273,142,131,121,44.30%,174,63.7,24,8.8,75,27.5
1016059,Blackmountain Primary School,BLACK MOUNTAIN PLACE,BELFAST,BT133TT,Primary,Controlled,BELFAST WEST,BELFAST,Urban,166,83,83,123,74.10%,160,96.4,0,0,6,3.6
1016060,Donegall Road Primary School,MALDON STREET,BELFAST,BT126HE,Primary,Controlled,BELFAST SOUTH,BELFAST,Urban,252,140,112,191,75.80%,140,55.6,*,*,#,#
1016076,Ballysillan Primary School,BALLYSILLAN PARK,BELFAST,BT148LT,Primary,Controlled,BELFAST NORTH,BELFAST,Urban,175,93,82,101,57.70%,118,67.4,7,4,50,28.6
1016205,Fane Street Primary School,FANE STREET,BELFAST,BT97BW,Primary,Controlled,BELFAST SOUTH,BELFAST,Urban,240,126,114,142,59.20%,71,29.6,24,10,145,60.4
1016207,Blythefield Primary School,BLYTHE STREET,BELFAST,BT125HX,Primary,Controlled,BELFAST SOUTH,BELFAST,Urban,103,47,56,91,88.30%,90,87.4,0,0,13,12.6
1016242,Dundela Infants School,WILGAR STREET,BELFAST,BT43BL,Primary,Controlled,BELFAST EAST,BELFAST,Urban,291,144,147,105,36.10%,135,46.4,35,12,121,41.6
1016485,Glenwood Primary School,4-22 UPPER RIGA STREET,BELFAST,BT133GW,Primary,Controlled,BELFAST NORTH,BELFAST,Urban,531,255,276,390,73.40%,510,96,5,0.9,16,3
1016498,Malvern Primary School,25-35 FORSTER STREET,BELFAST,BT131HW,Primary,Controlled,BELFAST WEST,BELFAST,Urban,105,56,49,88,83.80%,81,77.1,0,0,24,22.9
1016499,Botanic Primary School,6 BOTANIC COURT,BELFAST,BT71QY,Primary,Controlled,BELFAST SOUTH,BELFAST,Urban,218,110,108,117,53.70%,57,26.1,29,13.3,132,60.6
1016532,Wheatfield Primary School,ALLIANCE ROAD,BELFAST,BT147JE,Primary,Controlled,BELFAST NORTH,BELFAST,Urban,159,68,91,117,73.60%,136,85.5,*,*,#,#
1016537,Lowwood Primary School,SHERINGHURST PARK,BELFAST,BT154BL,Primary,Controlled,BELFAST NORTH,BELFAST,Urban,244,132,112,135,55.30%,162,66.4,15,6.1,67,27.5
1016604,"Harmony Primary School, Belfast",FORTHRIVER CRESCENT,BELFAST,BT133SY,Primary,Controlled,BELFAST WEST,BELFAST,Urban,252,119,133,179,71.00%,223,88.5,*,*,#,#
1016647,Bunscoil Mhic Reachtain,10A LANCASTER STREET,BELFAST,BT151EZ,Primary,Controlled,BELFAST NORTH,BELFAST,Urban,92,44,48,57,62.00%,*,*,87,94.6,*,*
1016655,Victoria Park Primary School,STRANDBURN STREET,BELFAST,BT41LX,Primary,Controlled,BELFAST EAST,BELFAST,Urban,395,211,184,210,53.20%,257,65.1,15,3.8,123,31.1
1030194,"Holy Cross Boys' Primary School, Belfast",BROOKFIELD STREET,BELFAST,BT147EX,Primary,Catholic Maintained,BELFAST NORTH,BELFAST,Urban,445,445,0,319,71.70%,*,*,#,#,*,*
1030313,"Our Lady of Lourdes Primary School, Belfast",700 ANTRIM ROAD,BELFAST,BT155GQ,Primary,Catholic Maintained,BELFAST NORTH,BELFAST,Urban,639,320,319,86,13.50%,*,*,621,97.2,#,#
1030326,"Our Lady's Primary School, Belfast",32 DEANBY GARDENS,BELFAST,BT146NN,Primary,Catholic Maintained,BELFAST NORTH,BELFAST,Urban,386,0,386,251,65.00%,*,*,376,97.4,#,#
1030327,Holy Rosary Primary School,70 SUNNYSIDE CRESCENT,BELFAST,BT73DB,Primary,Catholic Maintained,BELFAST SOUTH,BELFAST,Urban,500,256,244,258,51.60%,16,3.2,299,59.8,185,37
1030331,"Holy Cross Girls' Primary School, Belfast",ARDOYNE ROAD,BELFAST,BT147HZ,Primary,Catholic Maintained,BELFAST NORTH,BELFAST,Urban,188,0,188,141,75.00%,*,*,#,#,*,*
1030868,"St Anne's Primary School, Belfast",50 KINGSWAY,BELFAST,BT100NE,Primary,Catholic Maintained,BELFAST SOUTH,BELFAST,Urban,896,499,397,133,14.80%,*,*,842,94,#,#
1036041,Mercy Primary School,614 CRUMLIN ROAD,BELFAST,BT147GL,Primary,Catholic Maintained,BELFAST NORTH,BELFAST,Urban,214,0,214,148,69.20%,0,0,212,99.1,2,0.9
1036042,St Vincent De Paul Primary School,165A LIGONIEL ROAD,BELFAST,BT148DP,Primary,Catholic Maintained,BELFAST NORTH,BELFAST,Urban,279,150,129,182,65.20%,*,*,265,95,#,#
1036048,St Mary's Star of the Sea Primary School,730-760 SHORE ROAD,BELFAST,BT154HL,Primary,Catholic Maintained,BELFAST NORTH,BELFAST,Urban,145,82,63,86,59.30%,0,0,142,97.9,3,2.1
1036075,St Bride's Primary School,36 DERRYVOLGIE AVENUE,BELFAST,BT96FP,Primary,Catholic Maintained,BELFAST SOUTH,BELFAST,Urban,878,446,432,113,12.90%,9,1,661,75.3,208,23.7
1036132,St Therese of Lisieux Primary School,472 ANTRIM ROAD,BELFAST,BT155GF,Primary,Catholic Maintained,BELFAST NORTH,BELFAST,Urban,440,252,188,103,23.40%,0,0,429,97.5,11,2.5
1036140,"St Michael's Primary School, Belfast",514 RAVENHILL ROAD,BELFAST,BT60BW,Primary,Catholic Maintained,BELFAST SOUTH,BELFAST,Urban,419,240,179,62,14.80%,*,*,394,94,#,#
1036246,"St Joseph's Primary School, Holland Drive",31A HOLLAND DRIVE,BELFAST,BT56EH,Primary,Catholic Maintained,BELFAST EAST,BELFAST,Urban,384,196,188,35,9.10%,5,1.3,347,90.4,32,8.3
1036388,"St Mary's Primary School, Divis St",DIVIS STREET,BELFAST,BT124AL,Primary,Catholic Maintained,BELFAST WEST,BELFAST,Urban,132,62,70,102,77.30%,55,41.7,71,53.8,6,4.5
1036466,"St Malachy's Primary School, Belfast",1 ELIZA STREET,BELFAST,BT72BJ,Primary,Catholic Maintained,BELFAST SOUTH,BELFAST,Urban,381,187,194,221,58.00%,8,2.1,247,64.8,126,33.1
1036471,"Sacred Heart Primary School, Belfast",31-51 OLDPARK AVENUE,BELFAST,BT146HH,Primary,Catholic Maintained,BELFAST NORTH,BELFAST,Urban,149,149,0,112,75.20%,0,0,140,94,9,6
1036505,"St Matthew's Primary School, Belfast",SEAFORDE STREET,BELFAST,BT54EW,Primary,Catholic Maintained,BELFAST EAST,BELFAST,Urban,301,157,144,187,62.10%,*,*,265,88,#,#
1036565,St Kevin's Primary School,446 FALLS ROAD,BELFAST,BT126EN,Primary,Catholic Maintained,BELFAST WEST,BELFAST,Urban,579,301,278,387,66.80%,0,0,559,96.5,20,3.5
1036566,"Holy Family Primary School, Belfast",14 NEWINGTON AVENUE,BELFAST,BT152HP,Primary,Catholic Maintained,BELFAST NORTH,BELFAST,Urban,487,235,252,303,62.20%,0,0,460,94.5,27,5.5
1036576,"Holy Child Primary School, Belfast",5 SOUTH GREEN,BELFAST,BT118JF,Primary,Catholic Maintained,BELFAST WEST,BELFAST,Urban,583,297,286,289,49.60%,0,0,580,99.5,3,0.5
1036589,"St Teresa's Primary School, Belfast",GLEN ROAD,BELFAST,BT118BL,Primary,Catholic Maintained,BELFAST WEST,BELFAST,Urban,506,258,248,222,43.90%,0,0,498,98.4,8,1.6
1036602,"St Oliver Plunkett Primary School, Belfast",452 GLEN ROAD,BELFAST,BT118AY,Primary,Catholic Maintained,BELFAST WEST,BELFAST,Urban,638,327,311,399,62.50%,0,0,633,99.2,5,0.8
1036620,"St Peter's Primary School, Belfast",ROSS ROAD,BELFAST,BT124JD,Primary,Catholic Maintained,BELFAST WEST,BELFAST,Urban,325,152,173,255,78.50%,0,0,321,98.8,4,1.2
1036621,"St Joseph's Primary School, Slate Street",CULLINGTREE ROAD,BELFAST,BT124LD,Primary,Catholic Maintained,BELFAST WEST,BELFAST,Urban,228,120,108,170,74.60%,*,*,194,85.1,#,#
1036623,"Holy Trinity Primary School, Belfast",MONAGH ROAD,BELFAST,BT118EG,Primary,Catholic Maintained,BELFAST WEST,BELFAST,Urban,643,314,329,470,73.10%,0,0,640,99.5,3,0.5
1036624,"St Paul's Primary School, Belfast",34-36 MICA DRIVE,BELFAST,BT127NN,Primary,Catholic Maintained,BELFAST WEST,BELFAST,Urban,342,167,175,246,71.90%,0,0,283,82.7,59,17.3
1036630,"St Clare's Primary School, Belfast",323 CUPAR STREET,BELFAST,BT132SE,Primary,Catholic Maintained,BELFAST WEST,BELFAST,Urban,470,235,235,321,68.30%,*,*,445,94.7,#,#
1036688,"St John The Baptist Primary School, Belfast",FINAGHY ROAD NORTH,BELFAST,BT119EH,Primary,Catholic Maintained,BELFAST WEST,BELFAST,Urban,392,213,179,178,45.40%,0,0,389,99.2,3,0.8
1036697,John Paul II Primary School,WHITEROCK ROAD,BELFAST,BT127FW,Primary,Catholic Maintained,BELFAST WEST,BELFAST,Urban,283,152,131,241,85.20%,0,0,277,97.9,6,2.1
1036698,"St Patrick's Primary School, Churchill St",3 CHURCHILL STREET,BELFAST,BT152BP,Primary,Catholic Maintained,BELFAST NORTH,BELFAST,Urban,546,285,261,406,74.40%,*,*,513,94,#,#
1046501,Bunscoil Phobal Feirste,11 ROSGOILL PARK,BELFAST,BT119QS,Primary,Other Maintained,BELFAST WEST,BELFAST,Urban,339,177,162,122,36.00%,0,0,325,95.9,14,4.1
1046571,Gaelscoil Na Bhfal,34A IVEAGH CRESCENT,BELFAST,BT126AW,Primary,Other Maintained,BELFAST WEST,BELFAST,Urban,194,97,97,87,44.80%,0,0,182,93.8,12,6.2
1046593,Bunscoil An Tsleibhe Dhuibh,15A BALLYMURPHY ROAD,BELFAST,BT127JL,Primary,Other Maintained,BELFAST WEST,BELFAST,Urban,191,81,110,126,66.00%,0,0,172,90.1,19,9.9
1046596,Bunscoil Bheann Mhadagain,WYNDHAM DRIVE,BELFAST,BT146HP,Primary,Other Maintained,BELFAST NORTH,BELFAST,Urban,158,74,84,93,58.90%,*,*,151,95.6,#,#
1046641,Scoil An Droichid,22 COOKE STREET,BELFAST,BT72EP,Primary,Other Maintained,BELFAST SOUTH,BELFAST,Urban,165,79,86,85,51.50%,9,5.5,125,75.8,31,18.8
1046671,Gaelscoil na Mona,1 MONAGH LINK,BELFAST,BT118QB,Primary,Other Maintained,BELFAST WEST,BELFAST,Urban,125,62,63,91,72.80%,0,0,123,98.4,2,1.6
1046672,Gaelscoil an Lonnain,61 FALLS ROAD,BELFAST,BT124PD,Primary,Other Maintained,BELFAST WEST,BELFAST,Urban,60,27,33,52,86.70%,0,0,59,98.3,1,1.7
1056483,Cliftonville Integrated Primary School,93 CLIFTONVILLE ROAD,BELFAST,BT146JQ,Primary,Controlled Integrated,BELFAST NORTH,BELFAST,Urban,332,174,158,218,65.70%,61,18.4,137,41.3,134,40.4
1056535,Forge Integrated Primary School,20 CAROLAN ROAD,BELFAST,BT73HE,Primary,Controlled Integrated,BELFAST SOUTH,BELFAST,Urban,351,183,168,98,27.90%,84,23.9,114,32.5,153,43.6
1066531,Hazelwood Primary School,242 WHITEWELL ROAD,NEWTOWNABBEY,BT367EN,Primary,GMI,BELFAST NORTH,BELFAST,Urban,459,227,232,229,49.90%,131,28.5,214,46.6,114,24.8
1066580,Cranmore Integrated Primary School,47 FINAGHY ROAD NORTH,BELFAST,BT100JB,Primary,GMI,BELFAST SOUTH,BELFAST,Urban,206,114,92,98,47.60%,92,44.7,68,33,46,22.3
1620020,Campbell College Junior School,562-594 UPPER NEWTOWNARDS ROAD,BELFAST,BT43HJ,prep dept,Voluntary,BELFAST EAST,BELFAST,Urban,249,249,0,6,2.40%,66,26.5,20,8,163,65.5
1620022,Fullerton House Preparatory School,1 MALONE ROAD,BELFAST,BT96BY,prep dept,Voluntary,BELFAST SOUTH,BELFAST,Urban,151,84,67,*,,60,39.7,29,19.2,62,41.1
1620023,Downey House School,9 PIRRIE PARK GARDENS,BELFAST,BT60AG,prep dept,Voluntary,BELFAST SOUTH,BELFAST,Urban,119,60,59,*,,64,53.8,23,19.3,32,26.9
1620027,Inchmarlo,CRANMORE PARK,BELFAST,BT96JR,prep dept,Voluntary,BELFAST SOUTH,BELFAST,Urban,149,149,0,0,0.00%,85,57,26,17.4,38,25.5
1620028,Ben Madigan Preparatory School,690 ANTRIM ROAD,BELFAST,BT155GP,prep dept,Voluntary,BELFAST NORTH,BELFAST,Urban,131,76,55,8,6.10%,60,45.8,23,17.6,48,36.6
1620089,Strathearn Prep Dept,188 BELMONT ROAD,BELFAST,BT42AU,prep dept,Voluntary,BELFAST EAST,BELFAST,Urban,137,0,137,*,,25,18.2,*,*,#,#
1620264,Victoria College Prepatory School,CRANMORE PARK,BELFAST,BT96JA,prep dept,Voluntary,BELFAST SOUTH,BELFAST,Urban,152,0,152,0,0.00%,68,44.7,43,28.3,41,27
2010380,Londonderry Model Primary School,NORTHLAND ROAD,LONDONDERRY,BT487HJ,Primary,Controlled,FOYLE,DERRY CITY AND STRABANE,Urban,313,166,147,149,47.60%,23,7.3,233,74.4,57,18.2
2010382,Ebrington Controlled Primary School,12 ULSTERVILLE AVENUE,LONDONDERRY,BT476EU,Primary,Controlled,FOYLE,DERRY CITY AND STRABANE,Urban,451,256,195,166,36.80%,309,68.5,10,2.2,132,29.3
2011787,Kesh Primary School,44 CREVENISH ROAD,ENNISKILLEN,BT931RF,Primary,Controlled,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,236,130,106,74,31.40%,210,89,*,*,#,#
2011789,Moat Primary School,223 MAIN STREET,ENNISKILLEN,BT920JH,Primary,Controlled,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,119,70,49,41,34.50%,105,88.2,*,*,#,#
2011860,Belleek Primary School,159 BROLLAGH ROAD,ENNISKILLEN,BT933FU,Primary,Controlled,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,29,17,12,15,51.70%,19,65.5,6,20.7,4,13.8
2011873,Aghadrumsee Primary School,14 AGHADRUMSEE ROAD,ENNISKILLEN,BT927AU,Primary,Controlled,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,40,18,22,19,47.50%,36,90,0,0,4,10
2011879,Newtownbutler Primary School,58 HIGH STREET,ENNISKILLEN,BT928JE,Primary,Controlled,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,53,28,25,22,41.50%,51,96.2,0,0,2,3.8
2011881,Florencecourt Primary School,"Drumlaghy Two,",ENNISKILLEN,BT921BZ,Primary,Controlled,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,124,66,58,33,26.60%,105,84.7,10,8.1,9,7.3
2011893,Ballinamallard Primary School,19 BARAGH ROAD,ENNISKILLEN,BT942NY,Primary,Controlled,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,160,89,71,27,16.90%,131,81.9,9,5.6,20,12.5
2011894,Brookeborough Primary School,51 MAIN STREET,ENNISKILLEN,BT944EZ,Primary,Controlled,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,71,39,32,25,35.20%,#,#,*,*,*,*
2011899,Derrygonnelly Primary School,22 CALDRUM ROAD,ENNISKILLEN,BT936HY,Primary,Controlled,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,68,37,31,13,19.10%,54,79.4,0,0,14,20.6
2012052,Culmore Primary School,181 CULMORE ROAD,LONDONDERRY,BT488JH,Primary,Controlled,FOYLE,DERRY CITY AND STRABANE,Rural,70,25,45,8,11.40%,15,21.4,48,68.6,7,10
2012087,Bellarena Primary School,260 SEACOAST ROAD,LIMAVADY,BT490JB,Primary,Controlled,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Rural,34,18,16,15,44.10%,15,44.1,12,35.3,7,20.6
2012095,Ballougry Primary School,30A MULLENAN ROAD,LONDONDERRY,BT489XN,Primary,Controlled,FOYLE,DERRY CITY AND STRABANE,Rural,71,32,39,8,11.30%,22,31,47,66.2,2,2.8
2012227,Drumahoe Primary School,31 DRUMAHOE ROAD,LONDONDERRY,BT473SD,Primary,Controlled,FOYLE,DERRY CITY AND STRABANE,Urban,302,160,142,76,25.20%,275,91.1,5,1.7,22,7.3
2012245,Eglinton Primary School,22 WOODVALE ROAD,LONDONDERRY,BT473AH,Primary,Controlled,FOYLE,DERRY CITY AND STRABANE,Rural,215,100,115,46,21.40%,164,76.3,20,9.3,31,14.4
2012261,Newbuildings Primary School,83A VICTORIA ROAD,LONDONDERRY,BT472RL,Primary,Controlled,FOYLE,DERRY CITY AND STRABANE,Rural,204,101,103,80,39.20%,189,92.6,*,*,#,#
2012298,Ballykelly Primary School,8 GLENHEAD ROAD,LIMAVADY,BT499JS,Primary,Controlled,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Rural,315,159,156,143,45.40%,134,42.5,157,49.8,24,7.6
2012344,McClintock Primary School,77 LETFERN ROAD,OMAGH,BT781UQ,Primary,Controlled,WEST TYRONE,FERMANAGH AND OMAGH,Rural,84,35,49,19,22.60%,73,86.9,*,*,#,#
2012378,Dunmullan Primary School,42 DUNMULLAN ROAD,OMAGH,BT797TE,Primary,Controlled,WEST TYRONE,FERMANAGH AND OMAGH,Rural,36,13,23,8,22.20%,36,100,0,0,0,0
2012617,Erganagh Primary School,7 LISTYMORE ROAD,CASTLEDERG,BT817JG,Primary,Controlled,WEST TYRONE,DERRY CITY AND STRABANE,Rural,40,26,14,15,37.50%,35,87.5,*,*,*,*
2012638,Edwards Primary School,26 HOSPITAL ROAD,CASTLEDERG,BT817HY,Primary,Controlled,WEST TYRONE,DERRY CITY AND STRABANE,Rural,229,107,122,99,43.20%,198,86.5,*,*,#,#
2012641,Killen Primary School,76 LEARMORE ROAD,CASTLEDERG,BT817SD,Primary,Controlled,WEST TYRONE,DERRY CITY AND STRABANE,Rural,110,52,58,32,29.10%,100,90.9,0,0,10,9.1
2012648,Gillygooley Primary School,71 GILLYGOOLEY ROAD,OMAGH,BT785PX,Primary,Controlled,WEST TYRONE,FERMANAGH AND OMAGH,Rural,30,14,16,*,,30,100,0,0,0,0
2012660,Denamona Primary School,31 CRAIGAVON ROAD,OMAGH,BT782BN,Primary,Controlled,WEST TYRONE,FERMANAGH AND OMAGH,Rural,63,26,37,16,25.40%,47,74.6,*,*,#,#
2012669,"Queen Elizabeth II Primary School, Omagh",115 KILSKEERY ROAD,OMAGH,BT783RJ,Primary,Controlled,WEST TYRONE,FERMANAGH AND OMAGH,Rural,45,28,17,7,15.60%,40,88.9,0,0,5,11.1
2012671,Langfield Primary School,2 WILLMOUNT ROAD,OMAGH,BT784PG,Primary,Controlled,WEST TYRONE,FERMANAGH AND OMAGH,Rural,28,19,9,11,39.30%,#,#,*,*,*,*
2012691,Omagh County Primary School,37 CAMPSIE ROAD,OMAGH,BT790AJ,Primary,Controlled,WEST TYRONE,FERMANAGH AND OMAGH,Urban,337,165,172,106,31.50%,211,62.6,41,12.2,85,25.2
2012707,Dromore Primary School,25 GALBALLY ROAD,OMAGH,BT783EE,Primary,Controlled,WEST TYRONE,FERMANAGH AND OMAGH,Rural,48,23,25,15,31.30%,41,85.4,*,*,*,*
2012708,Strabane Controlled Primary School,43 DERRY ROAD,STRABANE,BT828DX,Primary,Controlled,WEST TYRONE,DERRY CITY AND STRABANE,Urban,281,141,140,104,37.00%,91,32.4,162,57.7,28,10
2012711,Donemana Primary School,31 LONGLAND ROAD,STRABANE,BT820PH,Primary,Controlled,WEST TYRONE,DERRY CITY AND STRABANE,Rural,104,57,47,51,49.00%,78,75,*,*,#,#
2016003,Jones Memorial Primary School,2 CAPPOG STREET,ENNISKILLEN,BT745AJ,Primary,Controlled,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Urban,180,104,76,83,46.10%,105,58.3,41,22.8,34,18.9
2016029,Drumachose Primary School,ALEXANDER ROAD,LIMAVADY,BT490BS,Primary,Controlled,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Urban,318,169,149,88,27.70%,233,73.3,25,7.9,60,18.9
2016068,Artigarvan Primary School,31 BERRYHILL ROAD,STRABANE,BT820HN,Primary,Controlled,WEST TYRONE,DERRY CITY AND STRABANE,Rural,149,58,91,53,35.60%,108,72.5,9,6,32,21.5
2016071,Greenhaw Primary School,CARNHILL ESTATE,LONDONDERRY,BT488BA,Primary,Controlled,FOYLE,DERRY CITY AND STRABANE,Urban,315,159,156,180,57.10%,6,1.9,294,93.3,15,4.8
2016089,Gibson Primary School,64 OLD MOUNTFIELD ROAD,OMAGH,BT797EG,Primary,Controlled,WEST TYRONE,FERMANAGH AND OMAGH,Urban,311,173,138,114,36.70%,195,62.7,42,13.5,74,23.8
2016102,Tempo Primary School,3 CULLION ROAD,ENNISKILLEN,BT943AU,Primary,Controlled,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,104,55,49,21,20.20%,87,83.7,*,*,#,#
2016124,Ashlea Primary,163 STEVENSON PARK,LONDONDERRY,BT473QT,Primary,Controlled,FOYLE,DERRY CITY AND STRABANE,Urban,83,41,42,37,44.60%,#,#,*,*,*,*
2016127,Maguiresbridge Primary School,7 DRUMGOON ROAD,ENNISKILLEN,BT944PB,Primary,Controlled,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,115,72,43,31,27.00%,96,83.5,*,*,#,#
2016151,Irvinestown Primary School,24 BURFITS HILL,ENNISKILLEN,BT941DY,Primary,Controlled,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,161,85,76,50,31.10%,116,72,21,13,24,14.9
2016152,Enniskillen Model Primary School,5 CASTLECOOLE ROAD,ENNISKILLEN,BT746HZ,Primary,Controlled,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Urban,432,220,212,106,24.50%,279,64.6,49,11.3,104,24.1
2016184,Lack Primary School,6 TIRWINNY ROAD,ENNISKILLEN,BT930BU,Primary,Controlled,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,53,25,28,20,37.70%,51,96.2,0,0,2,3.8
2016203,Lisnagelvin Primary School,46 RICHILL PARK,LONDONDERRY,BT475QZ,Primary,Controlled,FOYLE,DERRY CITY AND STRABANE,Urban,598,327,271,230,38.50%,364,60.9,85,14.2,149,24.9
2016218,Lisbellaw Primary School,40 CLOGHCOR ROAD,ENNISKILLEN,BT945BF,Primary,Controlled,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,219,97,122,48,21.90%,204,93.2,*,*,#,#
2016262,Newtownstewart Model Primary School,6 BARONSCOURT ROAD,OMAGH,BT784EX,Primary,Controlled,WEST TYRONE,DERRY CITY AND STRABANE,Rural,62,29,33,29,46.80%,50,80.6,0,0,12,19.4
2016372,Cumber Claudy Primary School,20 CREGG ROAD,LONDONDERRY,BT474HX,Primary,Controlled,EAST LONDONDERRY,DERRY CITY AND STRABANE,Rural,145,72,73,49,33.80%,124,85.5,*,*,#,#
