"Reference","Institution_Name","Address_1","Address_2","Address_3","Town_Name","County_Name","Postcode","Telephone","Email","Institution_Type","Management_Type","Latitude","Longitude","Irish_Grid_Reference_X","Irish_Grid_Reference_Y","Current_Approved_Enrolment","Current_Approved_Admissions","Latest_Year_Data","Primary_Reception_Pupil","Number_Year_1","Number_Year_2","Number_Year_3","Number_Year_4","Number_Year_5","Number_Year_6","Number_Year_7","Number_Year_8","Number_Year_9","Number_Year_10","Number_Year_11","Number_Year_12","Number_Year_13","Number_Year_14","Number_Year_15","Number_of_FTE_Staff","Pupil_Teacher_Ratio"
"5BB0202","Aghagallon Pre-School","St Patricks Primary School","3 Aghalee Road","Aghagallon","CRAIGAVON","ARMAGH","BT67 0AR","7786494921","aghagallonpreschool@gmail.com","VP Pre-schools","Other","54.50933","-6.29315","310604","363666","","","2015","","","","","","","","","","","","","","","","","",""
"3AB0640","Ahoghill & District Community Pre-School Playgroup","58 Cardonaghy Road","","","BALLYMENA","ANTRIM","BT42 1EF","028 25 878198/ 075 1975 0850","","VP Pre-schools","Voluntary","54.86877","-6.36601","304954","403562","","","2015","","","","","","","","","","","","","","","","","",""
"4013046","Alexander Dickson Primary School","COMBER ROAD","BALLYGOWAN","","NEWTOWNARDS","DOWN","BT23 5TN","028 9752 8651","info@adps.newtownards.ni.sch.uk","Primary school","Controlled","54.50364","-5.78846","343309","363943","145","21","2015","0","17","9","16","8","13","15","14","","","","","","","","","4.57","20.11"
"4056541","All Childrens Integrated Primary School","3A King Street","","","NEWCASTLE","DOWN","BT33 0HD","028 4372 2098","info@allchildrensint.newcastle.ni.sch.uk","Primary school","Controlled Integrated","54.20117","-5.8931","337538","330072","203","29","2015","7","23","30","29","28","33","32","41","","","","","","","","","9.45","23.6"
"2036557","All Saints Primary School","42 TATTYSALLAGH ROAD","","","OMAGH","TYRONE","BT78 5BR","028 8224 3233","info@allsaints.omagh.ni.sch.uk","Primary school","Roman Catholic Maintained","54.56059","-7.40137","238776","368195","111","16","2015","6","12","20","14","16","16","8","10","","","","","","","","","5","20.4"
"3AB0353","Alphabet Playgroup","Community Centre","15a Glassillan Grove","","GREENISLAND","ANTRIM","BT38 8TE","9086 0851","","VP Pre-schools","Other","54.6975","-5.87108","337304","385353","","","2015","","","","","","","","","","","","","","","","","",""
"2032722","Altishane Primary School","139 DUNNYBOE ROAD","DUNAMANAGH","","STRABANE","TYRONE","BT82 0RE","028 7139 8054","info@altishaneps.strabane.ni.sch.uk","Primary school","Roman Catholic Maintained","54.83664","-7.28007","246308","398999","48","7","2015","0","0","1","4","2","2","5","3","","","","","","","","","2","8.5"
"3012234","Ampertaine Primary School","94 KILREA ROAD","UPPERLANDS","","MAGHERA","LONDONDERRY","BT46 5SB","028 7964 3741","info@ampertaineps.maghera.ni.sch.uk","Primary school","Controlled","54.88365","-6.63151","287877","404853","138","20","2015","0","21","18","20","18","18","16","15","","","","","","","","","5.4","23.33"
"4AB0431","Anahilt Pre-School Playgroup","29a West Winds Terrace","Anahilt","","HILLSBOROUGH","DOWN","BT26 6BS","9263 9489","anahiltplaygroup@hotmail.co.uk","VP Pre-schools","Other","54.43622","-5.99911","329879","356031","","","2015","","","","","","","","","","","","","","","","","",""
"4011608","Anahilt Primary School","248 BALLYNAHINCH ROAD","","","HILLSBOROUGH","DOWN","BT26 6BP","028 9263 8557","info@anahiltps.hillsborough.ni.sch.uk","Primary school","Controlled","54.43679","-6.00042","329792","356092","300","43","2015","0","18","19","19","29","9","14","15","","","","","","","","","5.78","21.28"
"3032257","Anahorish Primary School","120 DEERPARK ROAD","TOOMEBRIDGE","","ANTRIM","ANTRIM","BT41 3SS","028 7965 0825","info@anahorishps.antrim.ni.sch.uk","Primary school","Roman Catholic Maintained","54.76633","-6.50263","296427","391963","174","25","2015","0","28","22","22","28","25","24","33","","","","","","","","","8","22.75"
"5031146","Anamar Primary School","67 KILTYBANE ROAD","CROSSMAGLEN","","NEWRY","DOWN","BT35 9BH","028 3086 1515","info@anamar.crossmaglen.ni.sch.uk","Primary school","Roman Catholic Maintained","54.11035","-6.61837","290411","318795","91","13","2015","2","2","6","3","6","5","5","6","","","","","","","","","3","11.67"
"4016126","Andrews Memorial Primary School","4 BALLYGOWAN ROAD","COMBER","","NEWTOWNARDS","DOWN","BT23 5PG","028 9187 2075","info@andrewsmemorialps.newtownards.ni.sch.uk","Primary school","Controlled","54.54686","-5.75425","345371","368823","368","53","2015","0","45","53","45","47","47","45","56","","","","","","","","","14","24.14"
"5011684","Annalong Primary School","31 KILKEEL ROAD","","","NEWRY","DOWN","BT34 4TH","028 4376 8336","info@annalongps.annalong.ni.sch.uk","Primary school","Controlled","54.10725","-5.90284","337213","319601","185","26","2015","0","22","16","15","20","19","18","23","","","","","","","","","6.1","26.07"
"4053009","Annsborough Primary School","51 BALLYLOUGH ROAD","","","CASTLEWELLAN","DOWN","BT31 9NN","028 4377 8630","info@annsboroughinte.castlewellan.ni.sch.uk","Primary school","Controlled Integrated","54.26768","-5.92063","335524","337421","85","12","2015","0","6","5","5","5","9","4","8","","","","","","","","","3","14"
"3410209","Antrim Grammar School","10 STEEPLE ROAD","","","ANTRIM","ANTRIM","BT41 1AF","028 9446 4091","info@antrimgrammar.antrim.ni.sch.uk","Secondary (grammar) school","Controlled","54.72363","-6.21251","315220","387647","740","105","2015","","","","","","","","","105","105","109","115","105","110","89","0","45.9","16.08"
"3010829","Antrim Primary School","31 STATION ROAD","","","ANTRIM","ANTRIM","BT41 4AB","028 9442 8226","info@antrimps.antrim.ni.sch.uk","Primary school","Controlled","54.71678","-6.21577","315029","386880","600","86","2015","0","81","90","90","86","87","79","90","","","","","","","","","24.2","24.92"
"4BB0310","Apple Blossom Pre-School","St Joseph's Primary School","4 Ballynahinch Road","Crossgar","DOWNPATRICK","DOWN","BT30 9HS","4483 2770","glasswater.preschool@outlook.com","VP Pre-schools","Other","54.39775","-5.76448","345237","352208","","","2015","","","","","","","","","","","","","","","","","",""
"3CB0567","Appletree Childcare","37 - 39 Tirkeeran Road","","Garvagh","COLERAINE","LONDONDERRY","BT51 5AX","028 2955 7913","","VP Pre-schools","Other","54.96866","-6.70652","282888","414224","","","2015","","","","","","","","","","","","","","","","","",""
"1420277","Aquinas Diocesan Grammar School","518 RAVENHILL ROAD","","","BELFAST","ANTRIM","BT6 0BY","028 9064 3939","info@aquinas.belfast.ni.sch.uk","Secondary (grammar) school","Voluntary","54.57617","-5.90744","335363","371779","770","110","2015","","","","","","","","","118","116","118","118","113","108","108","12","53","15.3"
"4BB0158","Ardglass Community Playgroup","21 Downpatrick Road","","","ARDGLASS","DOWN","BT30 7SF","4484 2754","acp598@btconnect.com","VP Pre-schools","Other","54.26602","-5.61502","355438","337866","","","2015","","","","","","","","","","","","","","","","","",""
"4310019","Ardmore House Special School","95A SAUL STREET","","","DOWNPATRICK","DOWN","BT30 6NJ","028 4461 4881","info@ardmorespec.downpatrick.ni.sch.uk","Special school","Controlled","54.33057","-5.71065","348975","344844","","","2015","","","","","","","","","","","","","","","","","12","0.17"
"2316695","Ardnashee School and College","15 Racecourse Road","","","LONDONDERRY","LONDONDERRY","BT48 7RE","028 71351266 / 028 71263270","info@asc.lderry.ni.sch.uk","Special school","Controlled","55.01788","-7.31656","243766","419151","","","2015","","","","","","","","","","","","","","","","","40.2","6.75"
"2BB0444","Ardstraw Community Playgroup","11A Deerpark Road","Newtownstewart","","OMAGH","TYRONE","BT78 4LL","8166 2594 / 07857433495","","VP Pre-schools","Other","54.73214","-7.45286","235296","387265","","","2015","","","","","","","","","","","","","","","","","",""
"2016701","Ardstraw Jubilee Primary School","Deerpark Road","Newtownstewart","","OMAGH","TYRONE","BT78 4LA","02881 661504","info@ajps.ardstraw.ni.sch.uk","Primary school","Controlled","54.73214","-7.45286","235296","387265","108","15","2015","0","10","16","19","10","10","9","13","","","","","","","","","3.42","25.46"
"1110001","Arellian Nursery School","50 BENTHAM DRIVE","DONEGALL ROAD","","BELFAST","ANTRIM","BT12 5NS","028 9032 5280","info@arellianns.belfast.ni.sch.uk","Nursery school","Controlled","54.59053","-5.94569","332843","373305","","","2015","","","","","","","","","","","","","","","","","2","30"
"3AB0354","Armoy Cross Community Playgroup","12 Main Street","Armoy","","BALLYMONEY","ANTRIM","BT53 8RQ","2075 1989","","VP Pre-schools","Other","55.13109","-6.32632","306803","432821","","","2015","","","","","","","","","","","","","","","","","",""
"3016040","Armoy Primary School","2 GRACEHILL ROAD","ARMOY","","BALLYMONEY","ANTRIM","BT53 8TD","028 2075 1354","info@armoyps.ballymoney.ni.sch.uk","Primary school","Controlled","55.12789","-6.32796","306707","432462","116","17","2015","0","15","13","13","7","12","12","9","","","","","","","","","4.28","18.94"
"5011115","Armstrong Primary School","6 COLLEGE HILL","","","ARMAGH","ARMAGH","BT61 9DF","028 3752 3003","info@armstrong.armagh.ni.sch.uk","Primary school","Controlled","54.35171","-6.65128","287745","345618","443","63","2015","0","72","61","75","84","66","71","87","","","","","","","","","23.95","21.54"
"2016068","Artigarvan Primary School","31 BERRYHILL ROAD","","","STRABANE","TYRONE","BT82 0HN","028 7188 3684","info@artigarvanps.strabane.ni.sch.uk","Primary school","Controlled","54.85488","-7.41044","237914","400951","175","25","2015","0","21","17","20","19","19","9","12","","","","","","","","","6.4","20.31"
"2316661","Arvalee School and Resource Centre","17 DEVERNEY ROAD","","","OMAGH","TYRONE","BT79 0ND","028 8224 9182","info@asrc.omagh.ni.sch.uk","Special school","Controlled","54.59421","-7.25847","247981","372026","","","2015","","","","","","","","","","","","","","","","","19.04","6.17"
"1210015","Ashfield Boys' High School","395 HOLYWOOD ROAD","","","BELFAST","ANTRIM","BT4 2LY","028 9065 6812","info@ashfieldboys.belfast.ni.sch.uk","Secondary (non-grammar) school","Controlled","54.60831","-5.86252","338158","375444","600","110","2015","","","","","","","","","122","120","112","117","112","86","75","0","46.8","15.9"
"1210014","Ashfield Girls' High School","397 HOLYWOOD ROAD","","","BELFAST","ANTRIM","BT4 2LY","028 9047 1744","info@ashgirls.belfast.ni.sch.uk","Secondary (non-grammar) school","Controlled","54.6096","-5.86554","337959","375581","660","113","2015","","","","","","","","","115","118","110","112","113","72","63","1","43.91","16.03"
"3116214","Ashgrove Nursery School","57 ASHGROVE ROAD","CARNMONEY","","NEWTOWNABBEY","ANTRIM","BT36 6LJ","028 9084 3178","info@ashgrovens.carnmoney.ni.sch.uk","Nursery school","Controlled","54.67707","-5.95022","332269","382928","","","2015","","","","","","","","","","","","","","","","","2","26"
"5116112","Ashgrove Nursery School","23 CHESTNUT GROVE","","","NEWRY","DOWN","BT34 1JT","028 3026 3355","info@ashgrovens.newry.ni.sch.uk","Nursery school","Controlled","54.18765","-6.32456","309421","327814","","","2015","","","","","","","","","","","","","","","","","1.37","18.97"
"5AB0604","Ashgrove Pre-School Playgroup","157 Garvaghey Road","","","PORTADOWN","ARMAGH","BT62 1EZ","7723502028","","VP Pre-schools","Other","54.43219","-6.45427","300358","354838","","","2015","","","","","","","","","","","","","","","","","",""
"3016244","Ashgrove Primary School","ASHGROVE ROAD","","","NEWTOWNABBEY","ANTRIM","BT36 6LJ","028 9084 8734","info@ashgroveps.newtownabbey.ni.sch.uk","Primary school","Controlled","54.67753","-5.94897","332348","382981","374","53","2015","0","42","56","52","55","59","46","55","","","","","","","","","15.94","22.9"
"2016124","Ashlea Primary School","163 STEVENSON PARK","TULLYALLY","","LONDONDERRY","LONDONDERRY","BT47 3QT","028 7134 7950","info@ashlea.londonderry.ni.sch.uk","Primary school","Controlled","54.97365","-7.28592","245776","414247","230","33","2015","0","7","9","13","11","1","7","4","","","","","","","","","3.6","21.67"
"4420086","Assumption Grammar School","22-24 BELFAST ROAD","","","BALLYNAHINCH","DOWN","BT24 8EA","028 9756 2250","info@assumption.ballynahinch.ni.sch.uk","Secondary (grammar) school","Voluntary","54.40531","-5.8967","336626","352784","840","120","2015","","","","","","","","","120","122","125","120","120","109","109","11","53.3","15.68"
"5AB0232","Atticall Pre-School Playgroup","Atticall Community Centre","140 Tullyframe Road","Kilkeel","NEWRY","DOWN","BT34 4RZ","02841764031 / 07773917957","atticallplaygroup@outlook.com","VP Pre-schools","Other","54.10391","-6.06233","326793","318932","","","2015","","","","","","","","","","","","","","","","","",""
"5012635","Augher Central Primary School","17 KNOCKMANY ROAD","","","AUGHER","TYRONE","BT77 0BE","028 8554 8443","info@aughercentral.augher.ni.sch.uk","Primary school","Controlled","54.43229","-7.13576","256134","354093","100","16","2015","0","10","15","14","13","12","14","8","","","","","","","","","4.7","18.29"
"5210153","Aughnacloy High School","23 CARNTEEL ROAD","","","AUGHNACLOY","TYRONE","BT69 6DX","028 8555 7289","info@ahs.aughnacloy.ni.sch.uk","Secondary (non-grammar) school","Controlled","54.41909","-6.965","267237","352773","232","46","2015","","","","","","","","","38","23","38","17","37","0","0","0","13.31","11.49"
"5AB0233","Aughnacloy Playgroup Ltd","Unit 1","12B Carnteel Road","Aughnacloy","DUNGANNON","TYRONE","BT69 6DU","0288555 7996","aughnacloyplaygroup@hotmail.co.uk","VP Pre-schools","Other","54.41801","-6.97037","266890","352647","","","2015","","","","","","","","","","","","","","","","","",""
"5012621","Aughnacloy Primary School","1 CARNTEEL ROAD","","","AUGHNACLOY","TYRONE","BT69 6DU","028 8555 7316","info@aughnacloyps.aughnacloy.ni.sch.uk","Primary school","Controlled","54.41641","-6.97006","266913","352470","116","17","2015","0","18","19","19","21","17","23","20","","","","","","","","","6","22.83"
"3AB0568","Ballee pre-School Playgroup","20 Antrim Road","","","BALLYMENA","ANTRIM","BT42 2BJ","25638628","","VP Pre-schools","Other","54.85359","-6.27464","310861","402013","","","2015","","","","","","","","","","","","","","","","","",""
"2011893","Ballinamallard Primary School","19 BARAGH ROAD","BALLINAMALLARD","","ENNISKILLEN","FERMANAGH","BT94 2NY","028 6638 8262","info@ballinamallardps.enniskillen.ni.sch.uk","Primary school","Controlled","54.42414","-7.59608","226267","352916","198","28","2015","0","20","17","22","22","21","18","24","","","","","","","","","7.62","20.41"
"3AB0101","Ballinascreen Early Years","The Business Park","Tobermore Rd","Draperstown","MAGHERAFELT","LONDONDERRY","BT45 7AG","7962 7303","","VP Pre-schools","Other","54.79559","-6.7815","278422","394872","","","2015","","","","","","","","","","","","","","","","","",""
"5AB0217","Ballinderry Playgroup","Ballinderry Parochial Centre","Ballinderry Bridge Road","Coagh","COOKSTOWN","TYRONE","BT80 0AY","7811751389","ballinderryplaygroup@btconnect.com","VP Pre-schools","Other","54.66954","-6.54657","293822","381129","","","2015","","","","","","","","","","","","","","","","","",""
"4016202","Ballinderry Primary School","8D CRUMLIN ROAD","BALLINDERRY","","LISBURN","ANTRIM","BT28 2BF","028 9265 1633","info@ballinderryps.lisburn.ni.sch.uk","Primary school","Controlled","54.54562","-6.25691","312851","367762","261","37","2015","0","29","34","38","27","30","25","21","","","","","","","","","10.02","21.66"
"2012095","Ballougry Primary School","30A MULLENAN ROAD","","","LONDONDERRY","LONDONDERRY","BT48 9XN","028 7126 3177","info@ballougryps.londonderry.ni.sch.uk","Primary school","Controlled","54.97118","-7.38495","239437","413912","84","12","2015","0","6","11","17","14","16","3","12","","","","","","","","","3","26.33"
"4AB0151","Ballybeen Women's Centre Pre-School","34 Ballybeen Square","Dundonald","","BELFAST","ANTRIM","BT16 2QE","9048 1632","linda@ballybeenwomenscentre.org","VP Pre-schools","Other","54.59088","-5.79129","342821","373646","","","2015","","","","","","","","","","","","","","","","","",""
"4010720","Ballycarrickmaddy Primary School","1A KILLULTAGH ROAD","BALLINDERRY UPPER","","LISBURN","ANTRIM","BT28 2NX","028 9264 8360","info@ballycarrickmaddyps.lisburn.ni.sch.uk","Primary school","Controlled","54.55026","-6.14451","320111","368465","203","29","2015","0","29","31","17","25","23","25","28","","","","","","","","","6.73","26.43"
"3AB0116","Ballycarry Playgroup","Old Presbyterian Church Hall","57 Main Street","Ballycarry","CARRICKFERGUS","ANTRIM","BT38 9HG","O7759315119 / 02893378275","","VP Pre-schools","Other","54.77188","-5.75148","344748","393872","","","2015","","","","","","","","","","","","","","","","","",""
"3010809","Ballycarry Primary School","23 HILLHEAD ROAD","BALLYCARRY","","CARRICKFERGUS","ANTRIM","BT38 9HE","028 9335 3706","info@ballycarryps.carrickfergus.ni.sch.uk","Primary school","Controlled","54.77627","-5.75245","344670","394358","116","17","2015","0","13","10","9","5","9","16","10","","","","","","","","","2.56","28.17"
"3210124","Ballycastle High School","33 RATHLIN ROAD","","","BALLYCASTLE","ANTRIM","BT54 6LD","028 2076 2254","info@ballycastlehigh.ballycastle.ni.sch.uk","Secondary (non-grammar) school","Controlled","55.20399","-6.24967","311488","441055","460","92","2015","","","","","","","","","58","60","66","70","59","49","49","0","27.63","14.87"
"3053333","Ballycastle Integrated Primary School","43 QUAY ROAD","","","BALLYCASTLE","ANTRIM","BT54 6BJ","028 2076 2496","info@ballycastleips.ballycastle.ni.sch.uk","Primary school","Controlled Integrated","55.20358","-6.24199","311978","441022","158","23","2015","0","29","24","24","30","21","25","23","","","","","","","","","9.01","22.54"
"3410008","Ballyclare High School","31 RASHEE ROAD","","","BALLYCLARE","ANTRIM","BT39 9HJ","028 9332 2244","info@ballyclarehigh.ballyclare.ni.sch.uk","Secondary (grammar) school","Controlled","54.75463","-6.00355","328584","391461","1210","186","2015","","","","","","","","","188","187","187","185","186","142","150","0","77.08","15.89"
"3116220","Ballyclare Nursery School","GRANGE DRIVE","","","BALLYCLARE","ANTRIM","BT39 9EY","028 9335 2982","info@ballyclarens.ballyclare.ni.sch.uk","Nursery school","Controlled","54.75323","-6.0125","328012","391289","","","2015","","","","","","","","","","","","","","","","","4.11","18.97"
"3010631","Ballyclare Primary School","DOAGH ROAD","","","BALLYCLARE","ANTRIM","BT39 9BG","028 9332 2389","info@ballyclareps.ballyclare.ni.sch.uk","Primary school","Controlled","54.75168","-6.00229","328674","391135","572","82","2015","0","71","65","86","74","78","58","63","","","","","","","","","19.4","25.52"
"3210134","Ballyclare Secondary School","19 DOAGH ROAD","","","BALLYCLARE","ANTRIM","BT39 9BG","028 93322610","info@ballyclaresec.ballyclare.ni.sch.uk","Secondary (non-grammar) school","Controlled","54.7504","-6.00279","328646","390991","960","180","2015","","","","","","","","","183","182","182","165","176","81","53","0","74.63","13.69"
"3013331","Ballycraigy Primary School","22 BRACKEN AVENUE","MUCKAMORE","","ANTRIM","ANTRIM","BT41 1PU","028 9446 2450","info@ballycraigyps.antrim.ni.sch.uk","Primary school","Controlled","54.70699","-6.18977","316733","385833","326","47","2015","0","24","21","21","24","16","20","17","","","","","","","","","8.3","17.23"
"4AB0171","Ballycrochan Playgroup","Ballycrochan Presbyterian Church","Silverbirch Road","","BANGOR","DOWN","BT19 6EU","9127 0040 / 07734889657","micheleroberts2000@gmail.com","VP Pre-schools","Other","54.65186","-5.63399","352758","380764","","","2015","","","","","","","","","","","","","","","","","",""
"5011617","Ballydown Primary School","64 LISNAREE ROAD","","","BANBRIDGE","DOWN","BT32 4JN","028 4066 2738","info@ballydown.banbridge.ni.sch.uk","Primary school","Controlled","54.3433","-6.23255","314993","345283","319","45","2015","0","43","46","43","45","44","46","45","","","","","","","","","13.4","25.22"
"5AB0205","Ballygawley Early Years","Fairfield House Playing Fields","95 Main Street","","BALLYGAWLEY","TYRONE","BT70 2HD","0288556 7411","ballygawleyearlyyears@hotmail.com","VP Pre-schools","Other","54.46082","-7.03081","262901","357357","","","2015","","","","","","","","","","","","","","","","","",""
"4BB0167","Ballygowan Community Playgroup","Alexander Dickson Primary School","Comber Road","Ballygowan","NEWTOWNARDS","DOWN","BT23 5TN","7845158223","ballygowancommunityplaygroup@hotmail.co.uk","VP Pre-schools","Other","54.50364","-5.78846","343309","363943","","","2015","","","","","","","","","","","","","","","","","",""
"3032104","Ballyhackett Primary School","50 ALTIKEERAGH ROAD","CASTLEROCK","","COLERAINE","LONDONDERRY","BT51 4SR","028 7084 8476","info@ballyhackettps.castlerock.ni.sch.uk","Primary school","Roman Catholic Maintained","55.13868","-6.81702","275491","433025","67","10","2015","1","6","5","2","6","10","6","5","","","","","","","","","3","13.67"
"3116166","Ballyhenry Nursery School","GLENVARNA COURT","","","NEWTOWNABBEY","ANTRIM","BT36 5JD","028 9083 3884","info@ballyhenryns.glengormley.ni.sch.uk","Nursery school","Controlled","54.67917","-5.96781","331128","383128","","","2015","","","","","","","","","","","","","","","","","2","26.5"
"3016170","Ballyhenry Primary School","BALLYHENRY AVENUE","GLENGORMLEY","","NEWTOWNABBEY","ANTRIM","BT36 5AZ","028 9084 1316","info@ballyhenryps.newtownabbey.ni.sch.uk","Primary school","Controlled","54.67977","-5.96866","331071","383193","317","45","2015","0","22","25","29","19","21","18","23","","","","","","","","","8","19.63"
"5031558","Ballyholland Primary School","60 BETTYS HILL ROAD","","","NEWRY","DOWN","BT34 2ND","028 3026 3763","info@ballyholland.newry.ni.sch.uk","Primary school","Roman Catholic Maintained","54.15413","-6.29348","311540","324131","244","30","2015","0","32","32","30","42","24","35","34","","","","","","","","","8.93","25.66"
"4AB0275","Ballyholme Presbyterian Church Playgroup","Ballyholme Presbyterian Church","GLENBURN PARK","","BANGOR","DOWN","BT20 5RD","9145 2796","bpchpreschool@btinternet.com","VP Pre-schools","Other","54.66252","-5.6395","352363","381938","","","2015","","","","","","","","","","","","","","","","","",""
"4011650","Ballyholme Primary School","GLENBURN PARK","","","BANGOR","DOWN","BT20 5RG","028 9127 0392","info@ballyholmeps.bangor.ni.sch.uk","Primary school","Controlled","54.66313","-5.63886","352402","382007","630","90","2015","0","90","92","91","89","90","91","88","","","","","","","","","25.45","24.79"
"3013315","Ballykeel Primary School","22 CREBILLY ROAD","","","BALLYMENA","ANTRIM","BT42 4DN","028 2565 3902","info@ballykeelps.ballymena.ni.sch.uk","Primary school","Controlled","54.85935","-6.25591","312048","402684","406","58","2015","0","51","58","53","59","55","49","53","","","","","","","","","21.1","20.38"
"2012298","Ballykelly Primary School","8 GLENHEAD ROAD","BALLYKELLY","","LIMAVADY","LONDONDERRY","BT49 9JS","028 7776 2864","info@ballykelly.limavady.ni.sch.uk","Primary school","Controlled","55.04296","-7.01616","262942","422172","586","84","2015","0","39","38","48","47","40","31","32","","","","","","","","","14.6","20.96"
"4AB0374","Ballykinlar Cross Community Preschool","The Playing Fields","27 Marion Park","BALLYKINLAR","DOWNPATRICK","DOWN","BT30 8DJ","4485 1989","stephaniemurray1@aol.com","VP Pre-schools","Other","54.25647","-5.79357","343840","336425","","","2015","","","","","","","","","","","","","","","","","",""
"5032208","Ballylifford Primary School","142 BALLINDERRY BRIDGE ROAD","","","COOKSTOWN","TYRONE","BT80 0AY","028 7941 8388","info@ballylifford.cookstown.ni.sch.uk","Primary school","Roman Catholic Maintained","54.66968","-6.54753","293760","381144","93","13","2015","0","7","14","14","6","8","7","11","","","","","","","","","3.31","20.25"
"4016441","Ballymacash Primary School","16 BROKERSTOWN ROAD","","","LISBURN","ANTRIM","BT28 2EE","028 9266 4244","info@ballymacashps.lisburn.ni.sch.uk","Primary school","Controlled","54.52508","-6.08215","324222","365771","350","54","2015","0","57","53","55","57","50","53","48","","","","","","","","","14.26","27.85"
"4030823","Ballymacrickett Primary School","44 SCROGGY ROAD","GLENAVY","","CRUMLIN","ANTRIM","BT29 4NE","028 9442 2708","info@ballymacrickettps.lisburn.ni.sch.uk","Primary school","Roman Catholic Maintained","54.5782","-6.22423","314874","371441","370","58","2015","0","60","55","44","52","50","51","43","","","","","","","","","16.14","23.6"
"4BB0173","Ballymacward Pre-School Playgroup","Ballymacward Primary School","22 Rock Road","Stoneyford","LISBURN","ANTRIM","BT28 3SU","2892648515","","VP Pre-schools","Other","54.58002","-6.10589","322520","371844","","","2015","","","","","","","","","","","","","","","","","",""
"4030573","Ballymacward Primary School","22 ROCK ROAD","","","LISBURN","ANTRIM","BT28 3SU","028 9264 8130","info@ballymacwardps.lisburn.ni.sch.uk","Primary school","Roman Catholic Maintained","54.58002","-6.10589","322520","371844","145","21","2015","0","14","6","9","11","6","11","7","","","","","","","","","4","16"
