School Number,School Name,LA Code,Local Authority,Sector,Governance - see notes,WM Code,Welsh Medium Type - see notes,School Type,Religious Character,Address 1,Address 2,Address 3,Address 4,Postcode,Phone Number,Pupils - see notes,fsm_3yr_pct,pupil_teacher_ratio,attendance_pct,school_budget_per_pupil,capped9_points,literacy_points,numeracy_points,science_points,welsh_bacc_points,estyn_report_url
6602152,Ysgol Gynradd Llanfairpwll,660.0,Isle of Anglesey,Primary,Foundation,WM,Welsh medium,Infants & Juniors,---,Llanfairpwll,Ynys Môn,,,LL61 5TX,01248714478,335.0,2.2,23.9,94.2,4771.0,,,,,,http://www.estyn.gov.wales/provider/6602152
6602153,Ysgol Gymuned Llanfechell,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanfechell,Amlwch,Ynys Môn,,LL68 0SA,01407710512,77.0,25.8,19.5,91.5,5907.0,,,,,,http://www.estyn.gov.wales/provider/6602153
6602154,Ysgol Y Graig,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Colleg,Lon Talwrn,Llangefni,Ynys Môn,LL77 7LP,01248723092,357.0,25.4,23.0,92.5,5371.0,,,,,,http://www.estyn.gov.wales/provider/6602154
6602155,YSGOL GYNRADD LLANGOED,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llangoed,Beaumaris,Ynys Môn,,LL58 8LU,01248490680,87.0,15.1,18.2,91.5,5402.0,,,,,,http://www.estyn.gov.wales/provider/6602155
6602156,Ysgol Henblas,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Llangristiolus,Bodorgan,Ynys Môn,,LL62 5DR,01248723944,94.0,8.9,17.8,95.3,5875.0,,,,,,http://www.estyn.gov.wales/provider/6602156
6602157,Ysgol Gymuned Llannerch-y-medd,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanerchymedd,Ynys Môn,,,LL71 8DP,01248470466,132.0,14.1,19.0,93.7,6300.0,,,,,,http://www.estyn.gov.wales/provider/6602157
6602160,Ysgol Pencarnisiog,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pencarnisiog,Ty Croes,Ynys Môn,,LL63 5RY,01407810622,72.0,7.9,21.0,95.7,5750.0,,,,,,http://www.estyn.gov.wales/provider/6602160
6602161,Ysgol Gymuned Pentraeth,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pentraeth,Ynys Môn,,,LL75 8UP,01248450315,87.0,13.9,16.9,93.9,6452.0,,,,,,http://www.estyn.gov.wales/provider/6602161
6602162,Ysgol Penysarn,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Penysarn,Ynys Môn,,,LL69 9AZ,01407830678,65.0,11.2,17.4,94.0,5873.0,,,,,,http://www.estyn.gov.wales/provider/6602162
6602163,Ysgol Santes Gwenfaen,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Rhoscolyn,Caergybi,Ynys Môn,,LL65 2DX,01407860264,110.0,8.2,18.5,92.3,5408.0,,,,,,http://www.estyn.gov.wales/provider/6602163
6602164,Ysgol Gynradd Rhosneigr,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Rhosneigr,Ynys Môn,,,LL64 5XA,01407810571,90.0,17.1,21.9,93.2,5714.0,,,,,,http://www.estyn.gov.wales/provider/6602164
6602165,Ysgol Gynradd Rhosybol,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Rhosybol,Amlwch,Ynys Môn,,LL68 9PP,01407830484,74.0,6.2,19.1,94.6,6164.0,,,,,,http://www.estyn.gov.wales/provider/6602165
6602168,Ysgol Gymuned y Fali,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Y Fali,Ynys Môn,,,LL65 3EU,01407740518,114.0,22.1,17.5,93.5,5743.0,,,,,,http://www.estyn.gov.wales/provider/6602168
6602169,Ysgol Llanfawr,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caergybi,Ynys Môn,,,LL65 2DS,01407762552,261.0,39.9,21.6,90.5,6113.0,,,,,,http://www.estyn.gov.wales/provider/6602169
6602170,Ysgol Goronwy Owen,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Benllech,Ynys Môn,,,LL74 8SG,01248852667,148.0,8.9,20.8,93.1,5044.0,,,,,,http://www.estyn.gov.wales/provider/6602170
6602173,Ysgol Gynradd Y Tywyn,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caergeiliog,Ynys Môn,,,LL65 3LW,01407740781,116.0,24.5,21.2,92.0,6718.0,,,,,,http://www.estyn.gov.wales/provider/6602173
6602174,Ysgol Gynradd Llandegfan,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Llandegfan,Porthaethwy,Ynys Môn,,LL59 5UW,01248713431,164.0,11.7,19.6,93.6,5045.0,,,,,,http://www.estyn.gov.wales/provider/6602174
6602175,Ysgol Gynradd y Borth,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Porthaethwy,Ynys Môn,,,LL59 5DS,01248713000,212.0,10.5,19.5,94.8,5250.0,,,,,,http://www.estyn.gov.wales/provider/6602175
6602176,Ysgol Gynradd Kingsland,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caergybi,Ynys Môn,,,LL65 2TH,01407763295,175.0,26.8,23.6,91.2,5622.0,,,,,,http://www.estyn.gov.wales/provider/6602176
6602177,Ysgol Gymraeg Morswyn,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caergybi,Ynys Môn,,,LL65 2PU,01407762233,185.0,14.3,23.6,93.0,5035.0,,,,,,http://www.estyn.gov.wales/provider/6602177
6602226,Ysgol Gynradd Corn Hir,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Llangefni,Ynys Môn,,,LL77 7JB,01248722558,315.0,9.0,23.3,92.7,5121.0,,,,,,http://www.estyn.gov.wales/provider/6602226
6602227,Rhyd y Llan,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanfaethlu,Caergybi,Ynys Môn,,LL65 4PQ,01407887922,125.0,10.4,19.6,93.8,6372.0,,,,,,http://www.estyn.gov.wales/provider/6602227
6602228,Ysgol Parc y Bont,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanddaniel Fab,,,Ynys Môn,LL60 6ES,01248422350,107.0,4.2,20.6,94.8,5835.0,,,,,,http://www.estyn.gov.wales/provider/6602228
6603036,Cybi,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Ffordd Garreglwyd,,,CAERGYBI,LL65 1NS,01407883150,446.0,25.2,21.6,91.1,5768.0,,,,,,http://www.estyn.gov.wales/provider/6603036
6603037,Ysgol Santes Dwynwen,660.0,Isle of Anglesey,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Niwbwrch,,,Ynys Môn,LL61 6TE,01248663894,113.0,24.5,17.3,91.2,6106.0,,,,,,http://www.estyn.gov.wales/provider/6603037
6603304,Ysgol Santes Fair,660.0,Isle of Anglesey,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Longford Road,Holyhead,Anglesey,,LL65 1TR,01407763176,107.0,19.6,20.2,90.3,6631.0,,,,,,http://www.estyn.gov.wales/provider/6603304
6604025,Ysgol Syr Thomas Jones,660.0,Isle of Anglesey,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Pentrefelin,Amlwch,Ynys Mon,,LL68 9TH,01407830287,539.0,15.7,15.6,89.3,7323.0,356.5,39.7,35.8,37.3,41.7,http://www.estyn.gov.wales/provider/6604025
6604026,Ysgol Uwchradd Caergybi,660.0,Isle of Anglesey,Secondary,Community,EW,English with significant Welsh,Secondary (ages 11-19),---,Caergybi,Ynys Môn,,,LL65 1NP,01407762219,843.0,21.0,16.4,82.3,6428.0,317.9,34.5,30.5,30.4,39.4,http://www.estyn.gov.wales/provider/6604026
6604027,Ysgol Gyfun Llangefni,660.0,Isle of Anglesey,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Llangefni,Ynys Môn,,,LL77 7NG,01248723441,736.0,17.4,15.6,89.0,6605.0,365.4,41.0,38.2,38.2,37.0,http://www.estyn.gov.wales/provider/6604027
6604028,Ysgol David Hughes,660.0,Isle of Anglesey,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Ffordd Pentraeth,Porthaethwy,Ynys Môn,,LL59 5SS,01248712287,1097.0,11.0,14.5,87.9,6368.0,360.5,39.8,37.1,39.6,38.0,http://www.estyn.gov.wales/provider/6604028
6604029,Ysgol Uwchradd Bodedern,660.0,Isle of Anglesey,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Bro Alaw,Bodedern,Caergybi,Ynys Môn,LL65 3TL,01407741000,766.0,16.9,14.4,86.7,6853.0,355.5,40.9,36.9,38.6,38.4,http://www.estyn.gov.wales/provider/6604029
6605200,Ysgol Caergeiliog,660.0,Isle of Anglesey,Primary,Foundation,DS,Dual Stream,"Nursery, Infants & Juniors",---,Caergeiliog,Caergybi,Ynys Môn,,LL65 3NP,01407740619,334.0,11.6,21.5,89.1,3994.0,,,,,,http://www.estyn.gov.wales/provider/6605200
6607011,Canolfan Addysg y Bont,660.0,Isle of Anglesey,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Ffordd Cildwrn,Llangefni,Ynys Mon,,LL77 7PG,01248750151,118.0,27161.0,,,,,,,,,http://www.estyn.gov.wales/provider/6607011
6612000,Ysgol Gwaun Gyfni,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Deiniolen,Gwynedd,,,LL55 3LT,01286870687,130.0,27.1,17.7,92.2,5447.0,,,,,,http://www.estyn.gov.wales/provider/6612000
6612004,YSGOL GYNRADD NEFYN,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Dewi Sant,Nefyn,Pwllheli,Gwynedd,LL53 6EA,01758720765,137.0,9.8,21.3,93.5,4880.0,,,,,,http://www.estyn.gov.wales/provider/6612004
6612006,Ysgol Llanrug,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caernarfon,Gwynedd,,,LL55 4AL,01286674905,250.0,8.4,22.8,92.6,4452.0,,,,,,http://www.estyn.gov.wales/provider/6612006
6612008,Ysgol Gynradd Abererch,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Abererch,Pwllheli,Gwynedd,,LL53 6YU,01758613441,70.0,17.4,21.3,93.2,5418.0,,,,,,http://www.estyn.gov.wales/provider/6612008
6612010,YSGOL BEDDGELERT,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Beddgelert,Gwynedd,,,LL55 4UY,01766890307,31.0,15.7,13.3,91.3,7695.0,,,,,,http://www.estyn.gov.wales/provider/6612010
6612011,Ysgol Bethel,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caernarfon,Gwynedd,,,LL55 1AX,01248670663,149.0,8.0,20.8,93.8,4688.0,,,,,,http://www.estyn.gov.wales/provider/6612011
6612013,Ysgol Bodfeurig,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Tregarth,Gwynedd,,,LL57 4RN,01248600760,55.0,6.2,17.6,92.6,5553.0,,,,,,http://www.estyn.gov.wales/provider/6612013
6612015,YSGOL GYNRADD BORTH-Y-GEST,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Porthmadog,Gwynedd,,,LL49 9UF,01766513285,31.0,6.9,15.0,93.1,8957.0,,,,,,http://www.estyn.gov.wales/provider/6612015
6612017,Ysgol Brynaerau,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pontllyfni,Caernarfon,Gwynedd,,LL54 5EU,01286660428,64.0,11.3,20.7,91.8,5676.0,,,,,,http://www.estyn.gov.wales/provider/6612017
6612026,Ysgol Y Gelli,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Bethel,Caernarfon,Gwynedd,,LL55 1DU,01286674847,230.0,4.8,23.9,94.1,4505.0,,,,,,http://www.estyn.gov.wales/provider/6612026
6612028,Ysgol Penybryn,661.0,Gwynedd,Primary,Community,WM,Welsh medium,Juniors,---,Bethesda,Gwynedd,,,LL57 3BE,01248600375,117.0,19.6,20.2,91.7,5743.0,,,,,,http://www.estyn.gov.wales/provider/6612028
6612033,Ysgol Treferthyr,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ysgol Treferthyr,Ffordd Pwllheli,Cricieth,Gwynedd,LL52 0RR,01766522300,115.0,12.8,23.3,92.0,5060.0,,,,,,http://www.estyn.gov.wales/provider/6612033
6612036,Ysgol Gynradd Chwilog,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Chwilog,Pwllheli,Gwynedd,,LL53 6PS,01766810627,89.0,3.1,20.5,94.2,5134.0,,,,,,http://www.estyn.gov.wales/provider/6612036
6612039,YSGOL CRUD-Y-WERIN,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Aberdaron,Pwllheli,Gwynedd,,LL53 8BP,01758760205,61.0,3.3,22.4,95.5,5991.0,,,,,,http://www.estyn.gov.wales/provider/6612039
6612042,Ysgol Dolbadarn,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanberis,Gwynedd,,,LL55 4SH,01286870711,140.0,9.6,23.6,93.8,4898.0,,,,,,http://www.estyn.gov.wales/provider/6612042
6612046,Ysgol Gynradd Edern,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd y Rhos,Edern,Pwllheli,Gwynedd,LL53 8YW,01758720272,77.0,15.9,22.5,92.1,5075.0,,,,,,http://www.estyn.gov.wales/provider/6612046
6612048,Ysgol Bro Plenydd,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Y Ffor,Pwllheli,Gwynedd,,LL53 6UP,01766810625,86.0,9.4,26.0,94.1,5592.0,,,,,,http://www.estyn.gov.wales/provider/6612048
6612049,Ysgol Gynradd Garndolbenmaen,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Garndolbenmaen,Gwynedd,,,LL51 9SZ,01766530626,21.0,27.6,9.1,95.2,11235.0,,,,,,http://www.estyn.gov.wales/provider/6612049
6612060,Ysgol Gynradd Llanbedrog,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanbedrog,Pwllheli,Gwynedd,,LL53 7NU,01758740631,96.0,3.9,22.1,94.3,5180.0,,,,,,http://www.estyn.gov.wales/provider/6612060
6612066,Ysgol Gynradd Llangybi,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llangybi,Pwllheli,Gwynedd,,LL53 6DQ,01766810564,29.0,14.9,13.8,93.4,7072.0,,,,,,http://www.estyn.gov.wales/provider/6612066
6612069,Ysgol Llanllechid,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanllechid,Bangor,Gwynedd,,LL57 3EH,01248600600,277.0,10.9,25.9,92.7,4441.0,,,,,,http://www.estyn.gov.wales/provider/6612069
6612070,Ysgol Gynradd Llanllyfni,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanllyfni,Caernarfon,Gwynedd,,LL54 6SH,01286880729,66.0,16.1,15.1,91.3,5274.0,,,,,,http://www.estyn.gov.wales/provider/6612070
6612075,YSGOL BABANOD MORFA NEFYN,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Morfa Nefyn,Pwllheli,Gwynedd,,LL53 6AR,01758720870,23.0,8.1,10.3,95.2,8406.0,,,,,,http://www.estyn.gov.wales/provider/6612075
6612078,Ysgol Baladeulyn,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Nantlle,Caernarfon,Gwynedd,,LL54 6BT,01286880884,19.0,51.0,8.0,84.6,14982.0,,,,,,http://www.estyn.gov.wales/provider/6612078
6612081,Ysgol Gynradd Nebo,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Nebo,Caernarfon,Gwynedd,,LL54 6EE,01286881273,14.0,25.0,10.3,86.9,14857.0,,,,,,http://www.estyn.gov.wales/provider/6612081
6612085,Ysgol Gymuned Penisarwaun,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Penisarwaen,Caernarfon,Gwynedd,,LL55 3BW,01286870879,45.0,3.9,17.7,94.1,6279.0,,,,,,http://www.estyn.gov.wales/provider/6612085
6612089,Ysgol Bro Lleu,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Penygroes,Caernarfon,Gwynedd,,LL54 6RL,01286880883,201.0,19.8,14.1,92.2,4841.0,,,,,,http://www.estyn.gov.wales/provider/6612089
6612093,YSGOL GYNRADD  PENTREUCHAF,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pentreuchaf,Pwllheli,Gwynedd,,LL53 8DZ,01758750600,93.0,17.5,18.0,93.4,5512.0,,,,,,http://www.estyn.gov.wales/provider/6612093
6612097,Ysgol Rhiwlas,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Rhiwlas,Bangor,Gwynedd,,LL57 4EH,01248352483,34.0,17.4,12.4,91.6,7040.0,,,,,,http://www.estyn.gov.wales/provider/6612097
6612098,Ysgol Gynradd Rhosgadfan,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Rhosgadfan,Caernarfon,Gwynedd,,LL54 7EU,01286830160,45.0,27.4,21.8,94.6,6040.0,,,,,,http://www.estyn.gov.wales/provider/6612098
6612099,Ysgol Gynradd Rhostryfan,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Rhostryfan,Caernarfon,Gwynedd,,LL54 7LR,01286830727,80.0,5.1,20.8,92.9,4900.0,,,,,,http://www.estyn.gov.wales/provider/6612099
6612103,YSGOL SARN BACH,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Sarn Bach,Pwllheli,Gwynedd,,LL53 7LF,01758712714,34.0,13.7,16.6,92.2,7633.0,,,,,,http://www.estyn.gov.wales/provider/6612103
6612104,Ysgol Eifion Wyn,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Porthmadog,Gwynedd,,,LL49 9NU,01766513286,213.0,8.5,23.5,93.5,4533.0,,,,,,http://www.estyn.gov.wales/provider/6612104
6612108,Ysgol Gynradd Talysarn,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,COED MADOG,TALYSARN,Gwynedd,,LL54 6HR,01286880885,98.0,19.8,20.0,92.2,5278.0,,,,,,http://www.estyn.gov.wales/provider/6612108
6612110,YSGOL Y GORLAN,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Tremadog,Porthmadog,Gwynedd,,LL49 9RN,01766512773,115.0,10.9,18.5,94.0,5273.0,,,,,,http://www.estyn.gov.wales/provider/6612110
6612111,Ysgol yr Eifl,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Trefor,Caernarfon,Gwynedd,,LL54 5LU,01286660523,49.0,20.0,20.0,94.6,5554.0,,,,,,http://www.estyn.gov.wales/provider/6612111
6612112,YSGOL GYNRADD TUDWEILIOG,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Tudweiliog,Pwllheli,Gwynedd,,LL53 8ND,01758770669,46.0,3.8,19.3,95.3,5840.0,,,,,,http://www.estyn.gov.wales/provider/6612112
6612113,Ysgol Waunfawr,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Waunfawr,Caernarfon,Gwynedd,,LL55 4LJ,01286650451,120.0,9.8,21.1,93.8,4910.0,,,,,,http://www.estyn.gov.wales/provider/6612113
6612116,Ysgol Glancegin,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Maesgeirchen,Bangor,Gwynedd,,LL57 1ST,01248353097,219.0,40.8,19.9,89.1,5316.0,,,,,,http://www.estyn.gov.wales/provider/6612116
6612119,Ysgol Yr Hendre,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caernarfon,Gwynedd,,,LL55 2AT,01286674332,402.0,28.2,17.9,89.8,4993.0,,,,,,http://www.estyn.gov.wales/provider/6612119
6612122,Ysgol Bontnewydd,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Bontnewydd,Caernarfon,Gwynedd,,LL55 2UF,01286673880,207.0,4.1,22.7,93.4,4982.0,,,,,,http://www.estyn.gov.wales/provider/6612122
6612123,Ysgol Gymraeg y Garnedd,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Penrhos,Bangor,Gwynedd,,LL57 2LX,01248352534,400.0,15.8,23.1,91.2,4284.0,,,,,,http://www.estyn.gov.wales/provider/6612123
6612125,Ysgol Cymerau,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Mela,Pwllheli,Gwynedd,,LL53 5AR,01758612001,269.0,16.1,23.1,92.3,5077.0,,,,,,http://www.estyn.gov.wales/provider/6612125
6612126,Ysgol Abercaseg (Babanod),661.0,Gwynedd,Primary,Community,WM,Welsh medium,Nursery & Infants,---,Bethesda,Bangor,Gwynedd,,LL57 3PL,01248600194,84.0,24.8,14.8,89.9,6020.0,,,,,,http://www.estyn.gov.wales/provider/6612126
6612127,Ysgol y Felinheli,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Felinheli,Gwynedd,,,LL56 4TZ,01248670748,171.0,3.9,23.1,97.8,4627.0,,,,,,http://www.estyn.gov.wales/provider/6612127
6612181,Ysgol y Traeth,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Abermaw,Gwynedd,,,LL42 1HH,01341280479,180.0,20.5,20.1,91.8,4301.0,,,,,,http://www.estyn.gov.wales/provider/6612181
6612185,Ysgol Gynradd Dyffryn Dulas,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Corris,Machynlleth,Powys,,SY20 9TQ,01654761622,31.0,9.0,10.1,91.7,8425.0,,,,,,http://www.estyn.gov.wales/provider/6612185
6612189,Ysgol Gynradd Dyffryn Ardudwy,661.0,Gwynedd,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Dyffryn Ardudwy,Gwynedd,,,LL44 2EP,01341247294,63.0,18.4,10.3,93.4,5381.0,,,,,,http://www.estyn.gov.wales/provider/6612189
