SeedCode,SchUID,SchoolType,CentreType,SchoolName,AddressLine1,AddressLine2,AddressLine3,PostCode,LAName,LACode,DataZone,UPRN,Email,Phone,Website,Denomination,FTETeacher,PupilRoll,PropPupilsMinorityEthnic,PropPupils20PCMostDeprived,DZSIMDPercentile,DZSIMDMostDep15Pct,DZSIMDMostDep16_25Pct,DZSIMDMostDep25Pct,AddrUR8,AddrUR6,AddrUR8Desc,AddrUR6Desc,DZUR8,DZUR6,DZUR8Desc,DZUR6Desc,GridRefEasting,GridRefNorthing,Latitude,Longitude,Notes
8357021,8357021P,Primary,Local Authority,Abronhill Primary School,Medlar Road,Abronhill,CUMBERNAULD,G67 3AJ,North Lanarkshire,S12000050,S01011755,118037738,ht@abronhill-pri.n-lanark.sch.uk,01236 794870,http://www.abronhill-pri.n-lanark.sch.uk/,Non-denominational,11.3,158,5 - <10%,*,22,N,Y,Y,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,277620,675058,55.952907,-3.961501,
8100128,8100128P,Primary,Local Authority,Achahoish Primary School,Achahoish,Lochgilphead,ARGYLL,PA31 8NZ,Argyll and Bute,S12000035,S01007320,125070825,enquiries-achahoish@argyll-bute.gov.uk,01880 770288,http://www.achahoish.argyll-bute.sch.uk,Non-denominational,1.6,6,*,0%,67,N,N,N,8,6,Very Remote Rural Areas,Remote Rural Areas,8,6,Very Remote Rural Areas,Remote Rural Areas,176122,675486,55.920188,-5.584567,
5130123,5130123P,Primary,Local Authority,Acharacle Primary School,Acharacle,Argyll,,PH36 4JU,Highland,S12000017,S01010505,130111370,acharacle.primary@highland.gov.uk,01967 431645,https://acharaclenews.wordpress.com/,Non-denominational,5.1,48,*,0%,44,N,N,N,8,6,Very Remote Rural Areas,Remote Rural Areas,8,6,Very Remote Rural Areas,Remote Rural Areas,167466,768115,56.746473,-5.804634,
5113024,5113024P,Primary,Local Authority,Achiltibuie Primary School,Achiltibuie,Ullapool,,IV26 2YG,Highland,S12000017,S01010693,130111569,achiltibuie.primary@highland.gov.uk,01854 622267,http://achiltibuieprimary.wordpress.com,Non-denominational,1.5,12,*,0%,55,N,N,N,8,6,Very Remote Rural Areas,Remote Rural Areas,8,6,Very Remote Rural Areas,Remote Rural Areas,202949,907735,58.014919,-5.337482,
5500125,5500125P,Primary,Local Authority,Addiewell Primary School,Church Street,Addiewell,WEST CALDER,EH55 8PG,West Lothian,S12000040,S01013255,200004137619,wladdiewell-ps@westlothian.org.uk,01501 762794,http://www.addiewellprimary.westlothian.org.uk/,Non-denominational,10.5,117,*,55 - <60%,38,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,Accessible Small Towns,Accessible Small Towns,298790,662465,55.844742,-3.617906,
8640122,8640122P,Primary,Local Authority,Aileymill Primary School,Norfolk Road,,GREENOCK,PA16 0JG,Inverclyde,S12000018,S01010853,119052180,INAileymill@glowscotland.onmicrosoft.com,01475 715647,http://aileymillprimary.inverclyde.sch.uk/,Non-denominational,19.9,299,0 - <5%,60 - <65%,31,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,224243,675550,55.940768,-4.815650,
8505438,8505438S,Secondary,Local Authority,Airdrie Academy,South Commonhead Avenue,Airdrie,,ML6 6NX,North Lanarkshire,S12000050,S01011659,118140728,ht@airdrie.n-lanark.sch.uk,01236 632161,https://blogs.glowscotland.org.uk/nl/airdrieacademy/,Non-denominational,73.9,1032,5 - <10%,40 - <45%,16,N,Y,Y,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,276119,666485,55.875543,-3.981589,
5300223,5300223P,Primary,Local Authority,Airlie Primary School,Kirkton Road,Airlie,KIRRIEMUIR,DD8 5NP,Angus,S12000041,S01007268,117083272,Airlie@angusschools.org.uk,01575 526149,http://www.airlieprimaryschool.org/,Non-denominational,3.0,38,0%,0%,56,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,Accessible Rural Areas,Accessible Rural Areas,331521,750154,56.638172,-3.118061,
5740223,5740223P,Primary,Local Authority,Airth Primary School,Elphinstone Crescent,Airth,FALKIRK,FK2 8JX,Falkirk,S12000014,S01009125,136035495,airthprimaryschool@falkirk.gov.uk,01324 831265,http://www.airth.falkirk.sch.uk,Non-denominational,11.4,166,*,*,39,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,Accessible Rural Areas,Accessible Rural Areas,290011,687617,56.068690,-3.768317,
5237629,5237629P,Primary,Local Authority,Airyhall School,Countesswells Road,Aberdeen,,AB15 8AD,Aberdeen City,S12000033,S01006542,9051018828,airyhall@aberdeencity.gov.uk,01224 498050,http://www.airyhall.aberdeen.sch.uk/,Non-denominational,20.1,368,>20%,0%,97,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,390975,804590,57.132120,-2.150731,
6103030,6103030P,Primary,Local Authority,Aith Junior High School,Aith,Shetland,,ZE2 9NB,Shetland Islands,S12000027,S01012407,30100006738,aith@shetland.gov.uk,01595 807400,http://www.aith.shetland.sch.uk/,Non-denominational,7.9,102,*,0%,72,N,N,N,8,6,Very Remote Rural Areas,Remote Rural Areas,8,6,Very Remote Rural Areas,Remote Rural Areas,434515,1155673,60.283789,-1.377676,
6103030,6103030S,Secondary,Local Authority,Aith Junior High School,Aith,Shetland,,ZE2 9NB,Shetland Islands,S12000027,S01012407,30100006738,aith@shetland.gov.uk,01595 807400,http://www.aith.shetland.sch.uk/,Non-denominational,11.8,116,*,0%,72,N,N,N,8,6,Very Remote Rural Areas,Remote Rural Areas,8,6,Very Remote Rural Areas,Remote Rural Areas,434515,1155673,60.283789,-1.377676,
8301727,8301727P,Primary,Local Authority,Aitkenbar Primary School,Bellsmyre Campus,Howatshaws Road,DUMBARTON,G82 3DR,West Dunbartonshire,S12000039,S01013184,129056552,SchoolOffice.Aitkenbar@west-dunbarton.gov.uk,01389 773901,http://www.scottishschools.info/aitkenbar/,Non-denominational,10.3,161,*,10 - <15%,12,Y,N,Y,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,240921,676790,55.957709,-4.549669,
8519323,8519323P,Primary,Local Authority,Aitkenhead Primary School,Lincoln Avenue,Tannochside,UDDINGSTON,G71 5QZ,North Lanarkshire,S12000050,S01011552,118114657,ht@aitkenhead.n-lanark.sch.uk,01698 522710,https://blogs.glowscotland.org.uk/nl/aitkenheadprimaryschoolblog/,Non-denominational,11.8,184,*,5 - <10%,63,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,269792,662140,55.834860,-4.080554,
5137527,5137527P,Primary,Local Authority,Aldourie Primary School,Aldourie,By Inverness,,IV2 6DP,Highland,S12000017,S01010596,130110242,aldourie.primary@highland.gov.uk,01463 751272,http://aldourieprimaryschool.com/,Non-denominational,3.6,23,*,0%,76,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,Accessible Rural Areas,Accessible Rural Areas,260676,836351,57.396143,-4.320010,
5232422,5232422P,Primary,Local Authority,Alehousewells School,Bremner Way,Kemnay Inverurie,ABERDEENSHIRE,AB51 5FW,Aberdeenshire,S12000034,S01006889,151085026,alehousewells.sch@aberdeenshire.gov.uk,01467 536910,http://www.alehousewells.aberdeenshire.sch.uk/,Non-denominational,8.1,128,5 - <10%,0%,40,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,Accessible Small Towns,Accessible Small Towns,372814,816636,57.239606,-2.452044,
8516421,8516421P,Primary,Local Authority,Alexander Peden Primary,West Main Street,Harthill,SHOTTS,ML7 5TU,North Lanarkshire,S12000050,S01011441,118058575,ht@alexanderpeden.n-lanark.sch.uk,01501 826709,http://www.northlanarkshire.gov.uk/index.aspx?articleid=5747,Non-denominational,12.6,152,*,30 - <35%,18,N,Y,Y,3,3,Accessible Small Towns,Accessible Small Towns,3,3,Accessible Small Towns,Accessible Small Towns,290110,664234,55.858724,-3.757181,
8405328,8405328P,Primary,Local Authority,Alexandra Parade Primary School,136 Armadale Street,,GLASGOW,G31 2TL,Glasgow City,S12000049,S01010237,906700134270,headteacher@alexandraparade-pri.glasgow.sch.uk,0141 554 3742,http://www.alexandraparade-pri.glasgow.sch.uk,Non-denominational,16.5,273,>20%,55 - <60%,56,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,261425,665541,55.863063,-4.215774,
5230934,5230934S,Secondary,Local Authority,Alford Academy,Alford Community Campus,Greystone Road,ALFORD,AB33 8TY,Aberdeenshire,S12000034,S01006885,151170828,alford.aca@aberdeenshire.gov.uk,019755 20430,http://www.alfordacademy.aberdeenshire.sch.uk/,Non-denominational,59.0,733,0 - <5%,0%,74,N,N,N,7,6,Remote Rural Areas,Remote Rural Areas,7,6,Remote Rural Areas,Remote Rural Areas,357017,815854,57.231370,-2.713610,
5224020,5224020P,Primary,Local Authority,Alford Primary School,Alford Community Campus,Greystone Road,ALFORD,AB33 8TY,Aberdeenshire,S12000034,S01006885,151170847,alford.sch@aberdeenshire.gov.uk,019755 20390,http://www.alford-pri.aberdeenshire.sch.uk/,Non-denominational,21.0,343,5 - <10%,*,74,N,N,N,7,6,Remote Rural Areas,Remote Rural Areas,7,6,Remote Rural Areas,Remote Rural Areas,356996,815825,57.231105,-2.713961,
8500320,8500320P,Primary,Local Authority,All Saints Primary School,88 Bellsdyke Road,Cairnhill,AIRDRIE,ML6 9DW,North Lanarkshire,S12000050,S01011643,118183657,ht@allsaints.n-lanark.sch.uk,01236 794808,http://www.northlanarkshire.gov.uk/index.aspx?articleid=5750,Roman Catholic,11.9,220,5 - <10%,10 - <15%,61,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,276150,664557,55.858243,-3.980205,
8640220,8640220P,Primary,Local Authority,All Saints Primary School,Blairmore Road,,GREENOCK,PA15 3JS,Inverclyde,S12000018,S01010901,119052385,INAllSaints@glowscotland.onmicrosoft.com,01475 715640,http://allsaintsprimary.inverclyde.sch.uk/,Roman Catholic,27.4,372,5 - <10%,80 - <85%,3,Y,N,Y,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,229052,674669,55.934589,-4.738193,
8431930,8431930S,Secondary,Local Authority,All Saints Secondary School,299 Ryehill Road,,GLASGOW,G21 3EN,Glasgow City,S12000049,S01010199,906700375787,headteacher@allsaints-sec.glasgow.sch.uk,0141 582 0010,http://www.allsaints-sec.glasgow.sch.uk,Roman Catholic,67.6,905,>20%,70 - <75%,10,Y,N,Y,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,262310,668087,55.886175,-4.202940,
5724821,5724821P,Primary,Local Authority,Allan's Primary School,29 Spittal Street,Stirling,,FK8 1DU,Stirling,S12000030,S01013067,122018491,allanps@stirling.gov.uk,01786 237935,https://blogs.glowscotland.org.uk/st/allansprimary/,Non-denominational,11.1,158,*,20 - <25%,70,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,279440,693507,56.119028,-3.940673,
8510326,8510326P,Primary,Local Authority,Allanton Primary School,Dura Road,Allanton,SHOTTS,ML7 5AB,North Lanarkshire,S12000050,S01011428,118051150,ht@allanton.n-lanark.sch.uk,01501 826703,http://www.allanton.n-lanark.sch.uk,Non-denominational,7.3,88,*,*,39,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,Accessible Rural Areas,Accessible Rural Areas,285688,657975,55.801488,-3.825152,
5702534,5702534S,Secondary,Local Authority,Alloa Academy,Bowhouse Road,Alloa,,FK10 1DN,Clackmannanshire,S12000005,S01007466,35025490,alloa@edu.clacks.gov.uk,01259 214979,http://alloaacademy.com/,Non-denominational,62.6,757,5 - <10%,40 - <45%,4,Y,N,Y,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,288553,692131,56.108888,-3.793607,
8230625,8230625P,Primary,Local Authority,Alloway Primary School,16 Doonholm Road,Ayr,,KA7 4QQ,South Ayrshire,S12000028,S01012458,141061344,alloway.mail@south-ayrshire.gov.uk,01292 612490,http://www.alloway.sayr.sch.uk/,Non-denominational,21.2,383,5 - <10%,*,81,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,233620,618276,55.430051,-4.630937,
5120136,5120136S,Secondary,Local Authority,Alness Academy,Dalmore,,ALNESS,IV17 0UY,Highland,S12000017,S01010737,130176799,alness.academy@highland.gov.uk,01349 883341,http://alnessacademy.wordpress.com,Non-denominational,39.8,505,*,45 - <50%,32,N,N,N,7,6,Remote Rural Areas,Remote Rural Areas,4,4,Remote Small Towns,Remote Small Towns,266072,869231,57.692883,-4.248405,
5702836,5702836S,Secondary,Local Authority,Alva Academy,Academy Avenue,Alva,,FK12 5FE,Clackmannanshire,S12000005,S01007429,35025570,alva@edu.clacks.gov.uk,01259 760342,http://alvaacademy.com/,Non-denominational,82.6,962,0 - <5%,10 - <15%,42,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,Accessible Small Towns,Accessible Small Towns,288808,696763,56.150549,-3.791432,
5700825,5700825P,Primary,Local Authority,Alva Primary School,Brook Street,Alva,,FK12 5LY,Clackmannanshire,S12000005,S01007429,35007154,alvaprimary@edu.clacks.gov.uk,01259 760987,https://blogs.glowscotland.org.uk/cl/alvaprimaryschool/,Non-denominational,30.1,355,5 - <10%,5 - <10%,42,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,Accessible Small Towns,Accessible Small Towns,288486,696817,56.150952,-3.796646,
5200326,5200326P,Primary,Local Authority,Alves Primary School,Main Road,Alves,MORAY,IV30 8UR,Moray,S12000020,S01011148,133001409,admin.alvesp@moray-edunet.gov.uk,01343 850247,https://blogs.glowscotland.org.uk/my/alves/,Non-denominational,6.0,77,10 - <20%,0%,51,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,Accessible Rural Areas,Accessible Rural Areas,313292,862136,57.640765,-3.454078,
5145120,5145120P,Primary,Local Authority,Alvie Primary School,Kincraig,Kingussie,,PH21 1ND,Highland,S12000017,S01010535,130107391,alvie.primary@highland.gov.uk,01540 651238,http://www.alvieprimaryschool.org.uk/,Non-denominational,2.3,46,*,0%,68,N,N,N,7,6,Remote Rural Areas,Remote Rural Areas,7,6,Remote Rural Areas,Remote Rural Areas,283544,806542,57.134960,-3.925734,
5352223,5352223P,Primary,Local Authority,Alyth Primary School,Albert Street,Alyth,,PH11 8AX,Perth and Kinross,S12000048,S01011977,124008060,alyth@pkc.gov.uk,01250 871370,http://www.alythps.schoolwebsite.scot/,Non-denominational,9.9,133,*,*,43,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,Accessible Rural Areas,Accessible Rural Areas,324402,748273,56.620183,-3.233534,
5935229,5935229P,Primary,Local Authority,Amisfield School,Amisfield,Dumfries,,DG1 3LN,Dumfries and Galloway,S12000006,S01007567,137061813,gw08officeamisfield@ea.dumgal.sch.uk,01387 710320,http://www.dumgal.gov.uk/article/15432/Amisfield-Primary-School,Non-denominational,2.5,36,0%,*,69,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,Accessible Rural Areas,Accessible Rural Areas,300126,582872,55.130120,-3.567929,
5630029,5630029P,Primary,Local Authority,Ancrum Primary School,Jedburgh,Roxburghshire,,TD8 6XA,Scottish Borders,S12000026,S01012342,116048131,ancrumps@scotborders.gov.uk,01835 830208,https://www.scotborders.gov.uk/directory_record/20088/ancrum_primary_school,Non-denominational,2.6,31,0%,0%,60,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,Accessible Rural Areas,Accessible Rural Areas,362754,624440,55.512292,-2.591341,
5323320,5323320P,Primary,Local Authority,Ancrum Road Primary School,47 Ancrum Road,Dundee,,DD2 2HX,Dundee City,S12000042,S01007836,9059036733,ancrumroadprimary@dundeeschools.scot,01382 435929,http://ancrumroad.ea.dundeecity.sch.uk/,Non-denominational,20.0,318,5 - <10%,45 - <50%,53,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,337962,731231,56.469097,-3.008538,
6103634,6103634S,Secondary,Local Authority,Anderson High School,North Loch Drive,Lerwick,SHETLAND,ZE1 0GR,Shetland Islands,S12000027,S01012397,30100000033,anderson@shetland.gov.uk,01595 808008,http://www.anderson.shetland.sch.uk/,Non-denominational,84.7,986,0 - <5%,0%,55,N,N,N,5,4,Very Remote Small Towns,Remote Small Towns,5,4,Very Remote Small Towns,Remote Small Towns,448000,1140864,60.149468,-1.137348,
5201322,5201322P,Primary,Local Authority,Anderson's Primary School,High Street,Forres,MORAY,IV36 1DB,Moray,S12000020,S01011155,133039538,admin.andersonsp@moray-edunet.gov.uk,01309 672887,https://blogs.glowscotland.org.uk/my/AndersonsPrimary/,Non-denominational,15.0,259,*,0 - <5%,42,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,Accessible Small Towns,Accessible Small Towns,303933,859015,57.610843,-3.609541,
8405425,8405425P,Primary,Local Authority,Anderston Primary School,7 Port Street,,GLASGOW,G3 8HY,Glasgow City,S12000049,S01010277,906700081806,headteacher@anderston-pri.glasgow.sch.uk,0141 221 1263,http://www.anderston-pri.glasgow.sch.uk/,Non-denominational,14.4,225,>20%,40 - <45%,13,Y,N,Y,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,257615,665505,55.861629,-4.276579,
