School Number,School Name,LA Code,Local Authority,Sector,Governance - see notes,WM Code,Welsh Medium Type - see notes,School Type,Religious Character,Address 1,Address 2,Address 3,Address 4,Postcode,Phone Number,Pupils - see notes,fsm_3yr_pct,pupil_teacher_ratio,attendance_pct,school_budget_per_pupil,capped9_points,literacy_points,numeracy_points,science_points,welsh_bacc_points,estyn_report_url,latitude,longitude
6602169,Ysgol Llanfawr,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caergybi,Ynys Môn,,,LL65 2DS,01407762552,261,,,,,,,,,,,53.3075378,-4.6232955
6602170,Ysgol Goronwy Owen,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Benllech,Ynys Môn,,,LL74 8SG,01248852667,148,,,,,,,,,,,53.32166789999999,-4.228651699999999
6602173,Ysgol Gynradd Y Tywyn,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caergeiliog,Ynys Môn,,,LL65 3LW,01407740781,116,,,,,,,,,,,53.2933185,-4.499105399999999
6602174,Ysgol Gynradd Llandegfan,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Llandegfan,Porthaethwy,Ynys Môn,,LL59 5UW,01248713431,164,,,,,,,,,,,53.2438856,-4.1467076
6602175,Ysgol Gynradd y Borth,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Porthaethwy,Ynys Môn,,,LL59 5DS,01248713000,212,,,,,,,,,,,53.2295653,-4.1692576
6602176,Ysgol Gynradd Kingsland,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caergybi,Ynys Môn,,,LL65 2TH,01407763295,175,,,,,,,,,,,53.3003675,-4.6259613
6602177,Ysgol Gymraeg Morswyn,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caergybi,Ynys Môn,,,LL65 2PU,01407762233,185,,,,,,,,,,,53.3009305,-4.623201
6602226,Ysgol Gynradd Corn Hir,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Llangefni,Ynys Môn,,,LL77 7JB,01248722558,315,,,,,,,,,,,53.2601243,-4.3262068
6602227,Rhyd y Llan,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanfaethlu,Caergybi,Ynys Môn,,LL65 4PQ,01407887922,125,,,,,,,,,,,53.3536119,-4.5343604
6602228,Ysgol Parc y Bont,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanddaniel Fab,,,Ynys Môn,LL60 6ES,01248422350,107,,,,,,,,,,,53.2118282,-4.2525408
6603036,Cybi,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Ffordd Garreglwyd,,,CAERGYBI,LL65 1NS,01407883150,446,,,,,,,,,,,53.30992879999999,-4.6410889
6603037,Ysgol Santes Dwynwen,660,Isle of Anglesey,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Niwbwrch,,,Ynys Môn,LL61 6TE,01248663894,113,,,,,,,,,,,53.1674344,-4.3582539
6603304,Ysgol Santes Fair,660,Isle of Anglesey,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Longford Road,Holyhead,Anglesey,,LL65 1TR,01407763176,107,,,,,,,,,,,53.3082869,-4.6344733
6604025,Ysgol Syr Thomas Jones,660,Isle of Anglesey,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Pentrefelin,Amlwch,Ynys Mon,,LL68 9TH,01407830287,539,,,,,,,,,,,53.4033818,-4.3510804
6604026,Ysgol Uwchradd Caergybi,660,Isle of Anglesey,Secondary,Community,EW,English with significant Welsh,Secondary (ages 11-19),---,Caergybi,Ynys Môn,,,LL65 1NP,01407762219,843,,,,,,,,,,,53.3108431,-4.639342399999999
6604027,Ysgol Gyfun Llangefni,660,Isle of Anglesey,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Llangefni,Ynys Môn,,,LL77 7NG,01248723441,736,,,,,,,,,,,53.2558455,-4.320662
6604028,Ysgol David Hughes,660,Isle of Anglesey,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Ffordd Pentraeth,Porthaethwy,Ynys Môn,,LL59 5SS,01248712287,1097,,,,,,,,,,,53.2287294,-4.176842199999999
6604029,Ysgol Uwchradd Bodedern,660,Isle of Anglesey,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Bro Alaw,Bodedern,Caergybi,Ynys Môn,LL65 3TL,01407741000,766,,,,,,,,,,,53.2909249,-4.5048944
6605200,Ysgol Caergeiliog,660,Isle of Anglesey,Primary,Foundation,DS,Dual Stream,"Nursery, Infants & Juniors",---,Caergeiliog,Caergybi,Ynys Môn,,LL65 3NP,01407740619,334,,,,,,,,,,,53.27515,-4.532699
6607011,Canolfan Addysg y Bont,660,Isle of Anglesey,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Ffordd Cildwrn,Llangefni,Ynys Mon,,LL77 7PG,01248750151,118,,,,,,,,,,,53.2574775,-4.321115499999999
6612000,Ysgol Gwaun Gyfni,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Deiniolen,Gwynedd,,,LL55 3LT,01286870687,130,,,,,,,,,,,53.1474268,-4.1284965
6612004,YSGOL GYNRADD NEFYN,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Dewi Sant,Nefyn,Pwllheli,Gwynedd,LL53 6EA,01758720765,137,,,,,,,,,,,52.9356585,-4.5248153
6612006,Ysgol Llanrug,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caernarfon,Gwynedd,,,LL55 4AL,01286674905,250,,,,,,,,,,,53.1469921,-4.1919423
6612008,Ysgol Gynradd Abererch,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Abererch,Pwllheli,Gwynedd,,LL53 6YU,01758613441,70,,,,,,,,,,,52.903242,-4.3851895
6612010,YSGOL BEDDGELERT,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Beddgelert,Gwynedd,,,LL55 4UY,01766890307,31,,,,,,,,,,,53.012377,-4.1055891
6612011,Ysgol Bethel,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caernarfon,Gwynedd,,,LL55 1AX,01248670663,149,,,,,,,,,,,53.1652145,-4.205025
6612013,Ysgol Bodfeurig,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Tregarth,Gwynedd,,,LL57 4RN,01248600760,55,,,,,,,,,,,53.1781762,-4.0900309
6612015,YSGOL GYNRADD BORTH-Y-GEST,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Porthmadog,Gwynedd,,,LL49 9UF,01766513285,31,,,,,,,,,,,52.9150928,-4.1361916
6612017,Ysgol Brynaerau,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pontllyfni,Caernarfon,Gwynedd,,LL54 5EU,01286660428,64,,,,,,,,,,,53.0413801,-4.3259089
6612026,Ysgol Y Gelli,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Bethel,Caernarfon,Gwynedd,,LL55 1DU,01286674847,230,,,,,,,,,,,53.1486879,-4.257406
6612028,Ysgol Penybryn,661,Gwynedd,Primary,Community,WM,Welsh medium,Juniors,---,Bethesda,Gwynedd,,,LL57 3BE,01248600375,117,,,,,,,,,,,53.1808128,-4.0574455
6612033,Ysgol Treferthyr,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ysgol Treferthyr,Ffordd Pwllheli,Cricieth,Gwynedd,LL52 0RR,01766522300,115,,,,,,,,,,,52.9186776,-4.2432083
6612036,Ysgol Gynradd Chwilog,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Chwilog,Pwllheli,Gwynedd,,LL53 6PS,01766810627,89,,,,,,,,,,,52.92025229999999,-4.334150999999999
6612039,YSGOL CRUD-Y-WERIN,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Aberdaron,Pwllheli,Gwynedd,,LL53 8BP,01758760205,61,,,,,,,,,,,52.8075981,-4.7101893
6612042,Ysgol Dolbadarn,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanberis,Gwynedd,,,LL55 4SH,01286870711,140,,,,,,,,,,,53.1181025,-4.1281004
6612046,Ysgol Gynradd Edern,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd y Rhos,Edern,Pwllheli,Gwynedd,LL53 8YW,01758720272,77,,,,,,,,,,,52.9234976,-4.5649692
6612048,Ysgol Bro Plenydd,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Y Ffor,Pwllheli,Gwynedd,,LL53 6UP,01766810625,86,,,,,,,,,,,52.9260025,-4.385324
6612049,Ysgol Gynradd Garndolbenmaen,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Garndolbenmaen,Gwynedd,,,LL51 9SZ,01766530626,21,,,,,,,,,,,52.9724503,-4.242433999999999
6612060,Ysgol Gynradd Llanbedrog,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanbedrog,Pwllheli,Gwynedd,,LL53 7NU,01758740631,96,,,,,,,,,,,52.85899,-4.488697
6612066,Ysgol Gynradd Llangybi,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llangybi,Pwllheli,Gwynedd,,LL53 6DQ,01766810564,29,,,,,,,,,,,52.9415065,-4.3530103
6612069,Ysgol Llanllechid,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanllechid,Bangor,Gwynedd,,LL57 3EH,01248600600,277,,,,,,,,,,,53.1886805,-4.0656284
6612070,Ysgol Gynradd Llanllyfni,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanllyfni,Caernarfon,Gwynedd,,LL54 6SH,01286880729,66,,,,,,,,,,,53.0412535,-4.2829028
6612075,YSGOL BABANOD MORFA NEFYN,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Morfa Nefyn,Pwllheli,Gwynedd,,LL53 6AR,01758720870,23,,,,,,,,,,,52.93104169999999,-4.5491043
6612078,Ysgol Baladeulyn,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Nantlle,Caernarfon,Gwynedd,,LL54 6BT,01286880884,19,,,,,,,,,,,53.05804,-4.2152018
6612081,Ysgol Gynradd Nebo,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Nebo,Caernarfon,Gwynedd,,LL54 6EE,01286881273,14,,,,,,,,,,,53.02995199999999,-4.269502399999999
6612085,Ysgol Gymuned Penisarwaun,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Penisarwaen,Caernarfon,Gwynedd,,LL55 3BW,01286870879,45,,,,,,,,,,,53.1526867,-4.1627864
6612089,Ysgol Bro Lleu,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Penygroes,Caernarfon,Gwynedd,,LL54 6RL,01286880883,201,,,,,,,,,,,53.0536857,-4.2778022
6612093,YSGOL GYNRADD  PENTREUCHAF,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pentreuchaf,Pwllheli,Gwynedd,,LL53 8DZ,01758750600,93,,,,,,,,,,,52.9282353,-4.4512254
6612097,Ysgol Rhiwlas,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Rhiwlas,Bangor,Gwynedd,,LL57 4EH,01248352483,34,,,,,,,,,,,53.1730248,-4.131171999999999
6612098,Ysgol Gynradd Rhosgadfan,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Rhosgadfan,Caernarfon,Gwynedd,,LL54 7EU,01286830160,45,,,,,,,,,,,53.0911651,-4.2308538
6612099,Ysgol Gynradd Rhostryfan,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Rhostryfan,Caernarfon,Gwynedd,,LL54 7LR,01286830727,80,,,,,,,,,,,53.0911651,-4.2308538
6612103,YSGOL SARN BACH,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Sarn Bach,Pwllheli,Gwynedd,,LL53 7LF,01758712714,34,,,,,,,,,,,52.81062559999999,-4.5193869
6612104,Ysgol Eifion Wyn,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Porthmadog,Gwynedd,,,LL49 9NU,01766513286,213,,,,,,,,,,,52.92943959999999,-4.1364458
6612108,Ysgol Gynradd Talysarn,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,COED MADOG,TALYSARN,Gwynedd,,LL54 6HR,01286880885,98,,,,,,,,,,,53.05458909999999,-4.2552196
6612110,YSGOL Y GORLAN,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Tremadog,Porthmadog,Gwynedd,,LL49 9RN,01766512773,115,,,,,,,,,,,52.939681,-4.1476819
6612111,Ysgol yr Eifl,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Trefor,Caernarfon,Gwynedd,,LL54 5LU,01286660523,49,,,,,,,,,,,52.9930265,-4.4235789
6612112,YSGOL GYNRADD TUDWEILIOG,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Tudweiliog,Pwllheli,Gwynedd,,LL53 8ND,01758770669,46,,,,,,,,,,,52.8987682,-4.623559699999999
6612113,Ysgol Waunfawr,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Waunfawr,Caernarfon,Gwynedd,,LL55 4LJ,01286650451,120,,,,,,,,,,,53.1118289,-4.2060347
6612116,Ysgol Glancegin,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Maesgeirchen,Bangor,Gwynedd,,LL57 1ST,01248353097,219,,,,,,,,,,,53.2259384,-4.1172959
6612119,Ysgol Yr Hendre,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caernarfon,Gwynedd,,,LL55 2AT,01286674332,402,,,,,,,,,,,53.1365117,-4.2595912
6612122,Ysgol Bontnewydd,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Bontnewydd,Caernarfon,Gwynedd,,LL55 2UF,01286673880,207,,,,,,,,,,,53.1148768,-4.268513
6612123,Ysgol Gymraeg y Garnedd,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Penrhos,Bangor,Gwynedd,,LL57 2LX,01248352534,400,,,,,,,,,,,53.2156983,-4.1538338
6612125,Ysgol Cymerau,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Mela,Pwllheli,Gwynedd,,LL53 5AR,01758612001,269,,,,,,,,,,,52.8824007,-4.417372299999999
6612126,Ysgol Abercaseg (Babanod),661,Gwynedd,Primary,Community,WM,Welsh medium,Nursery & Infants,---,Bethesda,Bangor,Gwynedd,,LL57 3PL,01248600194,84,,,,,,,,,,,53.1776622,-4.0544972
6612127,Ysgol y Felinheli,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Felinheli,Gwynedd,,,LL56 4TZ,01248670748,171,,,,,,,,,,,53.1767918,-4.216686999999999
6612181,Ysgol y Traeth,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Abermaw,Gwynedd,,,LL42 1HH,01341280479,180,,,,,,,,,,,52.7248201,-4.0611418
6612185,Ysgol Gynradd Dyffryn Dulas,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Corris,Machynlleth,Powys,,SY20 9TQ,01654761622,31,,,,,,,,,,,52.653161,-3.8411572
6612189,Ysgol Gynradd Dyffryn Ardudwy,661,Gwynedd,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Dyffryn Ardudwy,Gwynedd,,,LL44 2EP,01341247294,63,,,,,,,,,,,52.784349,-4.0950408
6612190,Ysgol Bro Cynfal,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffestiniog,Blaenau Ffestiniog,Gwynedd,,LL41 4NF,01766762668,29,,,,,,,,,,,52.9585091,-3.9322942
6612192,Ysgol Edmwnd Prys,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Gellilydan,Blaenau Ffestiniog,Gwynedd,,LL41 4DY,01766590348,21,,,,,,,,,,,52.9394283,-3.9595175
6612194,Ysgol Gynradd Llanbedr,661,Gwynedd,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Llanbedr,Gwynedd,,,LL45 2NW,01341241422,45,,,,,,,,,,,52.8214935,-4.0961262
6612198,YSGOL Y GARREG,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanfrothen,Penrhyndeudraeth,Gwynedd,,LL48 6LJ,01766770727,16,,,,,,,,,,,52.9542107,-4.063355899999999
6612199,Ysgol O M Edwards,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanuwchllyn,Bala,Gwynedd,,LL23 7UB,01678540242,85,,,,,,,,,,,52.8597541,-3.674783399999999
6612205,Ysgol Manod,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Blaenau Ffestiniog,Gwynedd,,,LL41 4AF,01766830272,93,,,,,,,,,,,52.9845208,-3.9311026
6612207,Ysgol Gynradd Pennal,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pennal,Machynlleth,Gwynedd,,SY20 9JT,01654791225,29,,,,,,,,,,,52.5859263,-3.9219005
6612208,Ysgol Cefn Coch,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Penrhyndeudraeth,Gwynedd,,,LL48 6AE,01766770291,159,,,,,,,,,,,52.9297377,-4.0681989
6612210,Ysgol Talsarnau,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Talsarnau,Gwynedd,,,LL47 6TA,01766770768,24,,,,,,,,,,,52.9016027,-4.066943699999999
6612211,Ysgol Gynradd Tanygrisiau,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Blaenau Ffestiniog,Gwynedd,,,LL41 3SU,01766830795,39,,,,,,,,,,,52.9864457,-3.957460599999999
6612212,Ysgol Gynradd Penybryn,661,Gwynedd,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Tywyn,Gwynedd,,,LL36 9EF,01654710237,236,,,,,,,,,,,52.5852806,-4.0832649
6612213,Ysgol Bro Hedd Wyn,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Trawsfynydd,Blaenau Ffestiniog,Gwynedd,,LL41 4SE,01766540247,57,,,,,,,,,,,52.9011132,-3.922467
6612214,Ysgol Bro Tryweryn,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Frongoch,Bala,Gwynedd,,LL23 7NT,01678520740,60,,,,,,,,,,,52.9393352,-3.6314542
6612219,Ysgol Tanycastell,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Harlech,Gwynedd,,,LL46 2UE,01766780454,82,,,,,,,,,,,52.8637463,-4.1067467
6612220,Ysgol Ffridd y LLyn,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Cefnddwysarn,Bala,Gwynedd,,LL23 7HE,01678530373,44,,,,,,,,,,,52.93274690000001,-3.5384913
6612221,Ysgol Maenofferen,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Blaenau Ffestiniog,Gwynedd,,,LL41 3UL,01766831256,219,,,,,,,,,,,52.9943854,-3.938337
6612227,Ysgol Hirael,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Orme Road,Bangor,Gwynedd,,LL57 1BA,01248352182,207,,,,,,,,,,,53.2314032,-4.1219611
6612228,Ysgol Craig y Deryn,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanegryn,Gwynedd,,,LL36 9SG,01654710463,95,,,,,,,,,,,52.62589879999999,-4.072672499999999
6612229,Ysgol Bro Llifon,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Groeslon,Caernarfon,,,LL54 7DT,01286831033,150,,,,,,,,,,,53.0777827,-4.275474
