De ref,school name,address 1,town,postcode,school type,management type,constituency,council,rural     ,total pupils,fsme,free school meals,Protestant,% Protestant,Catholic,% Catholic,Other Christian / non-Christian / no religion / unknown,% Other Christian / non-Christian / no religion / unknown,Newcomer,Total enrolment,% Newcomer
2240319,Gaelchol?iste Dhoire,DUNGIVEN CASTLE,DUNGIVEN,BT474LF,Secondary,Other Maintained,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Rural,48,9,18.80%,0,0,47,97.9,1,2.1,0,48,0.00%
2260276,Oakgrove Integrated College,GRANSHA PARK,LONDONDERRY,BT476TG,Secondary,GMI,FOYLE,DERRY CITY AND STRABANE,Rural,787,425,54.00%,201,25.5,503,63.9,83,10.5,22,787,2.80%
2260280,Erne Integrated College,5A DERRYGORE ROAD,ENNISKILLEN,BT744FY,Secondary,GMI,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Urban,412,144,35.00%,164,39.8,179,43.4,69,16.7,32,412,7.80%
2260283,Drumragh Integrated College,70 CREVENAGH ROAD,OMAGH,BT790EX,Secondary,GMI,WEST TYRONE,FERMANAGH AND OMAGH,Urban,652,270,41.40%,150,23,407,62.4,95,14.6,10,652,1.50%
2410048,Limavady Grammar School,3 BALLYQUIN ROAD,LIMAVADY,BT499ET,Grammar,Controlled,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Urban,889,159,17.90%,499,56.1,312,35.1,78,8.8,*,889,*
2410066,Omagh Academy,21-23 DUBLIN ROAD,OMAGH,BT781HF,Grammar,Controlled,WEST TYRONE,FERMANAGH AND OMAGH,Urban,671,98,14.60%,611,91.1,22,3.3,38,5.7,0,671,0.00%
2410311,Strabane Academy,MILLTOWN HOUSE,STRABANE,BT828NW,Grammar,Controlled,WEST TYRONE,DERRY CITY AND STRABANE,Urban,544,207,38.10%,321,59,184,33.8,39,7.2,*,544,*
2420041,Mount Lourdes Grammar School,4 BELMORE STREET,ENNISKILLEN,BT746AB,Grammar,Voluntary,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Urban,760,113,14.90%,6,0.8,744,97.9,10,1.3,*,760,*
2420043,"St Michael's College, Enniskillen",59 CHANTERHILL ROAD,ENNISKILLEN,BT746DG,Grammar,Voluntary,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Urban,694,121,17.40%,0,0,682,98.3,12,1.7,0,694,0.00%
2420052,Thornhill College,142 CULMORE ROAD,LONDONDERRY,BT488JF,Grammar,Voluntary,FOYLE,DERRY CITY AND STRABANE,Rural,1398,373,26.70%,*,*,1382,98.9,#,#,0,1398,0.00%
2420054,"St Columb's College, Londonderry",23 BUNCRANA ROAD,LONDONDERRY,BT488NH,Grammar,Voluntary,FOYLE,DERRY CITY AND STRABANE,Urban,1455,414,28.50%,*,*,1435,98.6,#,#,*,1455,*
2420064,"Christian Brothers' Grammar School, Omagh",KEVLIN ROAD,OMAGH,BT781LD,Grammar,Voluntary,WEST TYRONE,FERMANAGH AND OMAGH,Urban,977,212,21.70%,0,0,973,99.6,4,0.4,0,977,0.00%
2420065,Loreto Grammar School,JAMES STREET,OMAGH,BT781DL,Grammar,Voluntary,WEST TYRONE,FERMANAGH AND OMAGH,Urban,895,170,19.00%,0,0,886,99,9,1,*,895,*
2420229,Foyle College,122 NORTHLAND ROAD,LONDONDERRY,BT480LX,Grammar,Voluntary,FOYLE,DERRY CITY AND STRABANE,Urban,813,153,18.80%,544,66.9,169,20.8,100,12.3,0,813,0.00%
2420287,Lumen Christi College,181 BISHOP STREET,LONDONDERRY,BT486UJ,Grammar,Voluntary,FOYLE,DERRY CITY AND STRABANE,Urban,854,110,12.90%,10,1.2,809,94.7,35,4.1,0,854,0.00%
2420320,Enniskillen Royal Grammar School,1 LOUGHSHORE ROAD,ENNISKILLEN,BT747HA,Grammar,Voluntary,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Urban,985,140,14.20%,778,79,99,10.1,108,11,*,985,*
3210035,Magherafelt High School,30 MONEYMORE ROAD,MAGHERAFELT,BT456AF,Secondary,Controlled,MID ULSTER,MID ULSTER,Urban,546,177,32.40%,484,88.6,6,1.1,56,10.3,9,546,1.60%
3210038,Larne High School,20 SALLAGH PARK,LARNE,BT401NT,Secondary,Controlled,EAST ANTRIM,MID AND EAST ANTRIM,Urban,525,217,41.30%,425,81,15,2.9,85,16.2,6,525,1.10%
3210091,Carrickfergus College,110 NORTH ROAD,CARRICKFERGUS,BT387QX,Secondary,Controlled,EAST ANTRIM,MID AND EAST ANTRIM,Urban,731,248,33.90%,582,79.6,*,*,#,#,*,731,*
3210124,Ballycastle High School,33 RATHLIN ROAD,BALLYCASTLE,BT546LD,Secondary,Controlled,NORTH ANTRIM,CAUSEWAY COAST AND GLENS,Urban,395,122,30.90%,320,81,23,5.8,52,13.2,0,395,0.00%
3210133,Ballymoney High School,17 GARRYDUFF ROAD,BALLYMONEY,BT537AN,Secondary,Controlled,NORTH ANTRIM,CAUSEWAY COAST AND GLENS,Urban,653,263,40.30%,529,81,7,1.1,117,17.9,0,653,0.00%
3210134,Ballyclare Secondary School,19 DOAGH ROAD,BALLYCLARE,BT399BG,Secondary,Controlled,SOUTH ANTRIM,ANTRIM AND NEWTOWNABBEY,Urban,1036,243,23.50%,800,77.2,23,2.2,213,20.6,*,1036,*
3210172,Cullybackey High School,44 POTTINGER STREET,BALLYMENA,BT421BP,Secondary,Controlled,NORTH ANTRIM,MID AND EAST ANTRIM,Rural,646,215,33.30%,531,82.2,12,1.9,103,15.9,5,646,0.80%
3210202,Glengormley High School,134 BALLYCLARE ROAD,NEWTOWNABBEY,BT365HP,Secondary,Controlled,BELFAST NORTH,ANTRIM AND NEWTOWNABBEY,Urban,750,289,38.50%,549,73.2,14,1.9,187,24.9,20,750,2.70%
3210208,Dunclug College,DOURY ROAD,BALLYMENA,BT436SU,Secondary,Controlled,NORTH ANTRIM,MID AND EAST ANTRIM,Urban,868,331,38.10%,714,82.3,19,2.2,135,15.6,7,868,0.80%
3210222,Dunluce High School,16 DUNLUCE ROAD,BUSHMILLS,BT578QQ,Secondary,Controlled,NORTH ANTRIM,CAUSEWAY COAST AND GLENS,Rural,308,158,51.30%,257,83.4,7,2.3,44,14.3,0,308,0.00%
3210232,Downshire School,DOWNSHIRE ROAD,CARRICKFERGUS,BT387DA,Secondary,Controlled,EAST ANTRIM,MID AND EAST ANTRIM,Urban,511,174,34.10%,352,68.9,5,1,154,30.1,6,511,1.20%
3210300,Coleraine College,14 CARTHALL ROAD,COLERAINE,BT513LR,Secondary,Controlled,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Urban,236,120,50.80%,178,75.4,6,2.5,52,22,*,236,*
3210313,Abbey Community College,100 BRIDGE ROAD,NEWTOWNABBEY,BT370EA,Secondary,Controlled,EAST ANTRIM,ANTRIM AND NEWTOWNABBEY,Urban,580,290,50.00%,493,85,6,1,81,14,0,580,0.00%
3230075,Our Lady of Lourdes High School,CASTLE STREET,BALLYMONEY,BT536JX,Secondary,Catholic Maintained,NORTH ANTRIM,CAUSEWAY COAST AND GLENS,Urban,222,95,42.80%,26,11.7,166,74.8,30,13.5,9,222,4.10%
3230084,St Patrick's College Ballymena,BROUGHSHANE ROAD,BALLYMENA,BT437DZ,Secondary,Catholic Maintained,NORTH ANTRIM,MID AND EAST ANTRIM,Urban,506,211,41.70%,15,3,424,83.8,67,13.2,194,506,38.30%
3230110,"St Joseph's College, Coleraine",BERESFORD AVENUE,COLERAINE,BT521HJ,Secondary,Catholic Maintained,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Urban,256,107,41.80%,20,7.8,223,87.1,13,5.1,42,256,16.40%
3230132,"St Colm's High School, Draperstown",2 MAGHERAFELT ROAD,MAGHERAFELT,BT457AF,Secondary,Catholic Maintained,MID ULSTER,MID ULSTER,Rural,436,91,20.90%,0,0,434,99.5,2,0.5,11,436,2.50%
3230142,"St Mary's College, Portglenone",230 MAYOGALL ROAD,BALLYMENA,BT448NN,Secondary,Catholic Maintained,MID ULSTER,MID ULSTER,Rural,281,78,27.80%,*,*,#,#,*,*,7,281,2.50%
3230151,St Paul's College,11 BANN ROAD,COLERAINE,BT515RU,Secondary,Catholic Maintained,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Rural,292,84,28.80%,*,*,283,96.9,#,#,*,292,*
3230168,St Pius X College,59 MONEYMORE ROAD,MAGHERAFELT,BT456HQ,Secondary,Catholic Maintained,MID ULSTER,MID ULSTER,Urban,928,223,24.00%,0,0,923,99.5,5,0.5,27,928,2.90%
3230203,Edmund Rice College,96-100 HIGHTOWN ROAD,NEWTOWNABBEY,BT367AU,Secondary,Catholic Maintained,BELFAST NORTH,ANTRIM AND NEWTOWNABBEY,Urban,569,290,51.00%,*,*,562,98.8,*,*,0,569,0.00%
3230227,Cross and Passion College,10 MOYLE ROAD,BALLYCASTLE,BT546LA,Secondary,Catholic Maintained,NORTH ANTRIM,CAUSEWAY COAST AND GLENS,Urban,724,183,25.30%,*,*,703,97.1,#,#,6,724,0.80%
3230234,St Patrick's College Maghera,25 COLERAINE ROAD,MAGHERA,BT465BN,Secondary,Catholic Maintained,MID ULSTER,MID ULSTER,Rural,1306,258,19.80%,5,0.4,1291,98.9,10,0.8,*,1306,*
3230308,St Benedict's College,5 CRAIGSTOWN ROAD,RANDALSTOWN,BT412AF,Secondary,Catholic Maintained,SOUTH ANTRIM,ANTRIM AND NEWTOWNABBEY,Urban,378,154,40.70%,*,*,356,94.2,#,#,40,378,10.60%
3230310,St Killian's College,25 TOWER ROAD,BALLYMENA,BT440JS,Secondary,Catholic Maintained,EAST ANTRIM,MID AND EAST ANTRIM,Rural,835,179,21.40%,23,2.8,788,94.4,24,2.9,*,835,*
3250149,Crumlin Integrated College,10 GLENAVY ROAD,CRUMLIN,BT294LA,Secondary,Controlled Integrated,SOUTH ANTRIM,ANTRIM AND NEWTOWNABBEY,Urban,100,48,48.00%,25,25,43,43,32,32,0,100,0.00%
3250207,Parkhall Integrated College,STEEPLE ROAD,ANTRIM,BT411AF,Secondary,Controlled Integrated,SOUTH ANTRIM,ANTRIM AND NEWTOWNABBEY,Urban,690,287,41.60%,482,69.9,44,6.4,164,23.8,11,690,1.60%
3260289,Slemish College,147A LARNE ROAD,BALLYMENA,BT423HA,Secondary,GMI,NORTH ANTRIM,MID AND EAST ANTRIM,Urban,773,192,24.80%,309,40,284,36.7,180,23.3,*,773,*
3260290,North Coast Integrated College,21 CLOYFIN ROAD,COLERAINE,BT522NU,Secondary,GMI,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Urban,443,238,53.70%,289,65.2,61,13.8,93,21,*,443,*
3260299,Ulidia Integrated College,112 VICTORA ROAD,CARRICKFERGUS,BT387JL,Secondary,GMI,EAST ANTRIM,MID AND EAST ANTRIM,Urban,590,157,26.60%,300,50.8,196,33.2,94,15.9,5,590,0.80%
3260303,Sperrin Integrated College,39 POUND ROAD,MAGHERAFELT,BT456NR,Secondary,GMI,MID ULSTER,MID ULSTER,Urban,521,135,25.90%,205,39.3,215,41.3,101,19.4,11,521,2.10%
3410008,Ballyclare High School,31 RASHEE ROAD,BALLYCLARE,BT399HJ,Grammar,Controlled,SOUTH ANTRIM,ANTRIM AND NEWTOWNABBEY,Urban,1214,69,5.70%,990,81.5,16,1.3,208,17.1,0,1214,0.00%
3410098,Carrickfergus Grammar School,120 NORTH ROAD,CARRICKFERGUS,BT387RA,Grammar,Controlled,EAST ANTRIM,MID AND EAST ANTRIM,Urban,813,97,11.90%,640,78.7,35,4.3,138,17,0,813,0.00%
3410209,Antrim Grammar School,10 STEEPLE ROAD,ANTRIM,BT411AF,Grammar,Controlled,SOUTH ANTRIM,ANTRIM AND NEWTOWNABBEY,Urban,732,54,7.40%,456,62.3,98,13.4,178,24.3,0,732,0.00%
3410297,Cambridge House Grammar School,1 CAMBRIDGE AVENUE,BALLYMENA,BT422EH,Grammar,Controlled,NORTH ANTRIM,MID AND EAST ANTRIM,Urban,904,127,14.00%,795,87.9,11,1.2,98,10.8,0,904,0.00%
3420010,"St Louis Grammar School, Ballymena",CULLYBACKEY ROAD,BALLYMENA,BT435DW,Grammar,Voluntary,NORTH ANTRIM,MID AND EAST ANTRIM,Urban,1058,119,11.20%,5,0.5,1039,98.2,14,1.3,*,1058,*
3420011,Ballymena Academy,89 GALGORM ROAD,BALLYMENA,BT421AJ,Grammar,Voluntary,NORTH ANTRIM,MID AND EAST ANTRIM,Urban,1215,72,5.90%,1027,84.5,51,4.2,137,11.3,*,1215,*
3420012,Dalriada School,ST JAMES ROAD,BALLYMONEY,BT536BL,Grammar,Voluntary,NORTH ANTRIM,CAUSEWAY COAST AND GLENS,Urban,868,79,9.10%,619,71.3,69,7.9,180,20.7,0,868,0.00%
3420034,Loreto College,CASTLEROCK ROAD,COLERAINE,BT513JZ,Grammar,Voluntary,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Urban,802,103,12.80%,50,6.2,716,89.3,36,4.5,12,802,1.50%
3420046,Larne Grammar School,LOWER CAIRNCASTLE ROAD,LARNE,BT401PQ,Grammar,Voluntary,EAST ANTRIM,MID AND EAST ANTRIM,Urban,740,111,15.00%,530,71.6,68,9.2,142,19.2,*,740,*
3420058,Rainey Endowed School,79 RAINEY STREET,MAGHERAFELT,BT455DB,Grammar,Voluntary,MID ULSTER,MID ULSTER,Urban,725,91,12.60%,477,65.8,177,24.4,71,9.8,*,725,*
3420068,"Dominican College, Portstewart",2 STRAND ROAD,PORTSTEWART,BT557PF,Grammar,Voluntary,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Urban,488,89,18.20%,146,29.9,244,50,98,20.1,5,488,1.00%
3420077,Belfast High School,740 SHORE ROAD,NEWTOWNABBEY,BT370PX,Grammar,Voluntary,EAST ANTRIM,ANTRIM AND NEWTOWNABBEY,Urban,920,80,8.70%,601,65.3,71,7.7,248,27,*,920,*
3420080,"St Mary's Grammar School, Magherafelt",3 CASTLEDAWSON ROAD,MAGHERAFELT,BT456BE,Grammar,Voluntary,MID ULSTER,MID ULSTER,Urban,1092,87,8.00%,*,*,1085,99.4,#,#,0,1092,0.00%
3420317,Coleraine Grammar School,23-33 CASTLEROCK ROAD,COLERAINE,BT513LA,Grammar,Voluntary,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Urban,1375,175,12.70%,1022,74.3,83,6,270,19.6,*,1375,*
4210012,Movilla High School,DONAGHADEE ROAD,NEWTOWNARDS,BT237HA,Secondary,Controlled,STRANGFORD,ARDS AND NORTH DOWN,Urban,191,107,56.00%,143,74.9,7,3.7,41,21.5,9,191,4.70%
4210029,The High School Ballynahinch,103 BELFAST ROAD,BALLYNAHINCH,BT248EH,Secondary,Controlled,STRANGFORD,NEWRY MOURNE AND DOWN,Urban,167,47,28.10%,119,71.3,16,9.6,32,19.2,0,167,0.00%
